pid,trial,physicalSize,visualSize,congruent
11,0,0.5,-0.5,
11,1,0.5,0.5,
11,2,2.0,2.0,
11,3,2.0,2.5,
11,4,0.0,1.5,
11,5,0.5,1.5,
11,6,0.5,-0.5,
11,7,2.0,1.5,
11,8,1.5,0.0,
11,9,0.5,1.0,
11,10,0.5,0.0,
11,11,2.0,0.5,
11,12,1.0,-0.5,
11,13,0.0,2.5,
11,14,2.0,-0.5,
11,15,0.0,2.0,
11,16,2.0,0.5,
11,17,2.0,0.0,
11,18,0.5,2.5,
11,19,1.0,0.0,
11,20,1.5,-0.5,
11,21,1.5,0.0,
11,22,0.5,1.0,
11,23,0.0,1.5,
11,24,1.5,0.0,
11,25,0.0,-0.5,
11,26,0.5,0.5,
11,27,0.0,0.5,
11,28,0.0,1.5,
11,29,2.0,1.5,
11,30,1.5,0.0,
11,31,0.0,2.5,
11,32,0.5,1.5,
11,33,2.0,2.0,
11,34,2.0,0.5,
11,35,1.0,2.5,
11,36,0.5,2.0,
11,37,1.0,1.5,
11,38,1.0,1.5,
11,39,1.5,0.5,
11,40,1.0,2.0,
11,41,1.5,1.0,
11,42,0.5,2.0,
11,43,1.5,0.5,
11,44,0.0,2.0,
11,45,0.0,0.5,
11,46,2.0,1.5,
11,47,2.0,0.0,
11,48,0.5,2.0,
11,49,0.0,2.5,
11,50,1.0,0.5,
11,51,0.5,-0.5,
11,52,1.5,1.5,
11,53,2.0,2.5,
11,54,1.5,1.0,
11,55,0.0,0.0,
11,56,2.0,1.0,
11,57,1.0,1.5,
11,58,1.5,1.0,
11,59,1.0,2.5,
11,60,0.0,-0.5,
11,61,2.0,0.0,
11,62,0.0,0.0,
11,63,1.0,-0.5,
11,64,0.0,2.0,
11,65,0.0,2.0,
11,66,1.0,0.5,
11,67,0.5,1.5,
11,68,0.0,-0.5,
11,69,2.0,0.5,
11,70,2.0,2.0,
11,71,2.0,2.0,
11,72,1.5,2.5,
11,73,1.5,2.0,
11,74,1.0,2.0,
11,75,2.0,2.0,
11,76,1.0,2.5,
11,77,1.5,0.5,
11,78,1.0,2.5,
11,79,1.0,1.0,
11,80,1.0,1.5,
11,81,0.0,1.0,
11,82,0.5,2.5,
11,83,2.0,1.5,
11,84,0.0,2.0,
11,85,0.0,1.0,
11,86,0.5,2.5,
11,87,1.5,2.0,
11,88,1.5,1.0,
11,89,0.5,0.5,
11,90,2.0,1.0,
11,91,0.0,0.5,
11,92,1.0,1.0,
11,93,0.0,1.0,
11,94,1.0,1.0,
11,95,0.0,1.5,
11,96,1.5,1.5,
11,97,0.0,1.0,
11,98,1.0,0.0,
11,99,0.0,-0.5,
11,100,1.0,2.0,
11,101,0.5,0.0,
11,102,2.0,-0.5,
11,103,0.0,-0.5,
11,104,0.0,0.0,
11,105,2.0,2.5,
11,106,1.5,1.0,
11,107,0.0,1.5,
11,108,1.0,1.0,
11,109,1.5,2.5,
11,110,1.0,1.0,
11,111,2.0,2.5,
11,112,0.5,-0.5,
11,113,2.0,1.5,
11,114,0.5,0.5,
11,115,1.0,2.5,
11,116,2.0,0.5,
11,117,2.0,-0.5,
11,118,0.5,1.0,
11,119,0.0,2.5,
11,120,0.0,0.0,
11,121,1.5,0.5,
11,122,0.5,0.0,
11,123,0.5,2.0,
11,124,1.0,-0.5,
11,125,1.5,-0.5,
11,126,2.0,1.0,
11,127,1.0,0.0,
11,128,1.0,0.5,
11,129,2.0,1.0,
11,130,1.5,2.5,
11,131,2.0,-0.5,
11,132,2.0,-0.5,
11,133,1.5,2.0,
11,134,1.0,0.0,
11,135,1.5,-0.5,
11,136,0.0,0.0,
11,137,1.5,1.5,
11,138,0.5,2.5,
11,139,0.0,1.0,
11,140,0.5,0.5,
11,141,1.0,0.5,
11,142,0.0,0.5,
11,143,0.0,2.5,
11,144,1.5,0.5,
11,145,1.5,2.5,
11,146,1.5,1.5,
11,147,1.5,1.5,
11,148,1.5,0.0,
11,149,0.5,0.0,
11,150,1.0,1.5,
11,151,2.0,0.0,
11,152,1.0,2.0,
11,153,1.0,-0.5,
11,154,2.0,2.5,
11,155,0.5,1.0,
11,156,0.5,1.0,
11,157,2.0,1.0,
11,158,1.0,0.0,
11,159,0.5,0.0,
11,160,1.5,-0.5,
11,161,0.5,2.5,
11,162,1.5,2.0,
11,163,1.0,2.0,
11,164,0.5,2.0,
11,165,1.0,0.5,
11,166,2.0,0.0,
11,167,0.5,-0.5,
11,168,1.0,-0.5,
11,169,1.5,-0.5,
11,170,0.0,0.5,
11,171,0.5,1.5,
11,172,0.5,1.5,
11,173,1.5,2.0,
11,174,1.5,2.5,
