pid,trial,staircase,volumeSize,visualSize,response,reversal,step
1,0,A,0,1,0,0,0.2
1,1,B,2,1,1,0,-0.2
1,2,A,0.2,1,0,0,0.2
1,3,B,1.8,1,1,0,-0.2
1,4,A,0.4,1,0,0,0.2
1,5,B,1.6,1,1,0,-0.2
1,6,A,0.6,1,0,0,0.2
1,7,B,1.4,1,1,0,-0.2
1,8,A,0.8,1,0,0,0.2
1,9,B,1.2,1,1,0,-0.2
1,10,A,1,1,1,1,-0.1
1,11,B,1,1,1,0,-0.1
1,12,A,0.9,1,1,0,-0.1
1,13,B,0.9,1,1,0,-0.1
1,14,A,0.8,1,1,0,-0.1
1,15,B,0.8,1,0,1,0.1
1,16,A,0.7,1,1,0,-0.1
1,17,B,0.9,1,1,1,-0.1
1,18,A,0.6,1,1,0,-0.1
1,19,B,0.8,1,0,1,0.1
1,20,A,0.5,1,1,0,-0.1
1,21,B,0.9,1,1,1,-0.1
1,22,A,0.4,1,1,0,-0.1
1,23,B,0.8,1,0,1,0.1
1,24,A,0.3,1,0,1,0.1
1,25,B,0.9,1,1,1,-0.1
1,26,A,0.4,1,0,0,0.1
1,27,B,0.8,1,0,1,0.1
1,28,A,0.5,1,0,0,0.1
1,29,B,0.9,1,1,1,-0.1
1,30,A,0.6,1,1,1,-0.1
1,31,B,0.8,1,1,0,-0.1
1,32,A,0.5,1,0,1,0.1
1,33,B,0.7,1,1,0,-0.1
1,34,A,0.6,1,1,1,-0.1
1,35,B,0.6,1,0,1,0.1
1,36,A,0.5,1,1,0,-0.1
1,37,B,0.7,1,1,1,-0.1
1,38,A,0.4,1,0,1,0.1
1,39,B,,1,,,
1,40,A,0.5,1,0,0,0.1
1,41,B,,1,,,
1,42,A,0.6,1,0,0,0.1
1,43,B,,1,,,
1,44,A,0.7,1,0,0,0.1
1,45,B,,1,,,
1,46,A,0.8,1,0,0,0.1
1,47,B,,1,,,
1,48,A,0.9,1,1,1,-0.1
1,49,B,,1,,,
1,50,A,0.8,1,1,0,-0.1
1,51,B,,1,,,
1,52,A,0.7,1,1,0,-0.1
1,53,B,,1,,,
1,54,A,0.6,1,1,0,-0.1
1,55,B,,1,,,
1,56,A,0.5,1,0,1,0.1
1,57,B,,1,,,
1,58,A,0.6,1,1,1,-0.1
1,59,B,,1,,,
1,60,A,0.5,1,1,0,-0.1
1,61,B,,1,,,
1,62,A,0.4,1,1,0,-0.1
1,63,B,,1,,,
1,64,A,0.3,1,1,0,-0.1
1,65,B,,1,,,
1,66,A,0.2,1,1,0,-0.1
1,67,B,,1,,,
1,68,A,0.1,1,0,1,0.1
1,69,B,,1,,,
1,70,A,,1,,,
1,71,B,,1,,,
1,72,A,,1,,,
1,73,B,,1,,,
1,74,A,,1,,,
1,75,B,,1,,,
1,76,A,,1,,,
1,77,B,,1,,,
1,78,A,,1,,,
1,79,B,,1,,,
1,80,A,,1,,,
1,81,B,,1,,,
1,82,A,,1,,,
1,83,B,,1,,,
1,84,A,,1,,,
1,85,B,,1,,,
1,86,A,,1,,,
1,87,B,,1,,,
1,88,A,,1,,,
1,89,B,,1,,,
1,90,A,,1,,,
1,91,B,,1,,,
1,92,A,,1,,,
1,93,B,,1,,,
1,94,A,,1,,,
1,95,B,,1,,,
1,96,A,,1,,,
1,97,B,,1,,,
1,98,A,,1,,,
1,99,B,,1,,,
1,100,A,,1,,,
1,101,B,,1,,,
1,102,A,,1,,,
1,103,B,,1,,,
1,104,A,,1,,,
1,105,B,,1,,,
1,106,A,,1,,,
1,107,B,,1,,,
1,108,A,,1,,,
1,109,B,,1,,,
1,110,A,,1,,,
1,111,B,,1,,,
1,112,A,,1,,,
1,113,B,,1,,,
1,114,A,,1,,,
1,115,B,,1,,,
1,116,A,,1,,,
1,117,B,,1,,,
1,118,A,,1,,,
1,119,B,,1,,,
1,120,A,,1,,,
1,121,B,,1,,,
1,122,A,,1,,,
1,123,B,,1,,,
1,124,A,,1,,,
1,125,B,,1,,,
1,126,A,,1,,,
1,127,B,,1,,,
1,128,A,,1,,,
1,129,B,,1,,,
1,130,A,,1,,,
1,131,B,,1,,,
1,132,A,,1,,,
1,133,B,,1,,,
1,134,A,,1,,,
1,135,B,,1,,,
1,136,A,,1,,,
1,137,B,,1,,,
1,138,A,,1,,,
1,139,B,,1,,,
1,140,A,,1,,,
1,141,B,,1,,,
1,142,A,,1,,,
1,143,B,,1,,,
1,144,A,,1,,,
1,145,B,,1,,,
1,146,A,,1,,,
1,147,B,,1,,,
1,148,A,,1,,,
1,149,B,,1,,,
1,150,A,,1,,,
1,151,B,,1,,,
1,152,A,,1,,,
1,153,B,,1,,,
1,154,A,,1,,,
1,155,B,,1,,,
1,156,A,,1,,,
1,157,B,,1,,,
1,158,A,,1,,,
1,159,B,,1,,,
1,160,A,,1,,,
1,161,B,,1,,,
1,162,A,,1,,,
1,163,B,,1,,,
1,164,A,,1,,,
1,165,B,,1,,,
1,166,A,,1,,,
1,167,B,,1,,,
1,168,A,,1,,,
1,169,B,,1,,,
1,170,A,,1,,,
1,171,B,,1,,,
1,172,A,,1,,,
1,173,B,,1,,,
1,174,A,,1,,,
1,175,B,,1,,,
1,176,A,,1,,,
1,177,B,,1,,,
1,178,A,,1,,,
1,179,B,,1,,,
1,180,A,,1,,,
1,181,B,,1,,,
1,182,A,,1,,,
1,183,B,,1,,,
1,184,A,,1,,,
1,185,B,,1,,,
1,186,A,,1,,,
1,187,B,,1,,,
1,188,A,,1,,,
1,189,B,,1,,,
1,190,A,,1,,,
1,191,B,,1,,,
1,192,A,,1,,,
1,193,B,,1,,,
1,194,A,,1,,,
1,195,B,,1,,,
1,196,A,,1,,,
1,197,B,,1,,,
1,198,A,,1,,,
1,199,B,,1,,,
1,200,A,,1,,,
1,201,B,,1,,,
1,202,A,,1,,,
1,203,B,,1,,,
1,204,A,,1,,,
1,205,B,,1,,,
1,206,A,,1,,,
1,207,B,,1,,,
1,208,A,,1,,,
1,209,B,,1,,,
1,210,A,,1,,,
1,211,B,,1,,,
1,212,A,,1,,,
1,213,B,,1,,,
1,214,A,,1,,,
1,215,B,,1,,,
1,216,A,,1,,,
1,217,B,,1,,,
1,218,A,,1,,,
1,219,B,,1,,,
1,220,A,,1,,,
1,221,B,,1,,,
1,222,A,,1,,,
1,223,B,,1,,,
1,224,A,,1,,,
1,225,B,,1,,,
1,226,A,,1,,,
1,227,B,,1,,,
1,228,A,,1,,,
1,229,B,,1,,,
1,230,A,,1,,,
1,231,B,,1,,,
1,232,A,,1,,,
1,233,B,,1,,,
1,234,A,,1,,,
1,235,B,,1,,,
1,236,A,,1,,,
1,237,B,,1,,,
1,238,A,,1,,,
1,239,B,,1,,,
1,240,A,,1,,,
1,241,B,,1,,,
1,242,A,,1,,,
1,243,B,,1,,,
1,244,A,,1,,,
1,245,B,,1,,,
1,246,A,,1,,,
1,247,B,,1,,,
1,248,A,,1,,,
1,249,B,,1,,,
1,250,A,,1,,,
1,251,B,,1,,,
1,252,A,,1,,,
1,253,B,,1,,,
1,254,A,,1,,,
1,255,B,,1,,,
1,256,A,,1,,,
1,257,B,,1,,,
1,258,A,,1,,,
1,259,B,,1,,,
1,260,A,,1,,,
1,261,B,,1,,,
1,262,A,,1,,,
1,263,B,,1,,,
1,264,A,,1,,,
1,265,B,,1,,,
1,266,A,,1,,,
1,267,B,,1,,,
1,268,A,,1,,,
1,269,B,,1,,,
1,270,A,,1,,,
1,271,B,,1,,,
1,272,A,,1,,,
1,273,B,,1,,,
1,274,A,,1,,,
1,275,B,,1,,,
1,276,A,,1,,,
1,277,B,,1,,,
1,278,A,,1,,,
1,279,B,,1,,,
1,280,A,,1,,,
1,281,B,,1,,,
1,282,A,,1,,,
1,283,B,,1,,,
1,284,A,,1,,,
1,285,B,,1,,,
1,286,A,,1,,,
1,287,B,,1,,,
1,288,A,,1,,,
1,289,B,,1,,,
1,290,A,,1,,,
1,291,B,,1,,,
1,292,A,,1,,,
1,293,B,,1,,,
1,294,A,,1,,,
1,295,B,,1,,,
1,296,A,,1,,,
1,297,B,,1,,,
