pid,trial,physical_speed,visual_end_size,scenario,congruency
4,0,0,180,one-hand,
4,1,40,100,one-hand,
4,2,40,180,one-hand,
4,3,0,120,one-hand,
4,4,10,80,one-hand,
4,5,20,140,one-hand,
4,6,10,100,one-hand,
4,7,40,100,one-hand,
4,8,10,160,one-hand,
4,9,40,120,one-hand,
4,10,20,160,one-hand,
4,11,20,100,one-hand,
4,12,10,160,one-hand,
4,13,0,100,one-hand,
4,14,10,120,one-hand,
4,15,20,120,one-hand,
4,16,20,100,one-hand,
4,17,0,80,one-hand,
4,18,0,140,one-hand,
4,19,40,140,one-hand,
4,20,0,180,one-hand,
4,21,40,160,one-hand,
4,22,20,80,one-hand,
4,23,40,180,one-hand,
4,24,0,180,one-hand,
4,25,10,120,one-hand,
4,26,10,160,one-hand,
4,27,20,180,one-hand,
4,28,40,80,one-hand,
4,29,20,160,one-hand,
4,30,0,120,one-hand,
4,31,20,140,one-hand,
4,32,0,160,one-hand,
4,33,0,120,one-hand,
4,34,10,180,one-hand,
4,35,0,160,one-hand,
4,36,0,100,one-hand,
4,37,20,80,one-hand,
4,38,0,140,one-hand,
4,39,40,180,one-hand,
4,40,20,180,one-hand,
4,41,20,140,one-hand,
4,42,0,100,one-hand,
4,43,10,180,one-hand,
4,44,0,140,one-hand,
4,45,0,160,one-hand,
4,46,20,180,one-hand,
4,47,0,80,one-hand,
4,48,40,80,one-hand,
4,49,40,120,one-hand,
4,50,0,80,one-hand,
4,51,20,140,one-hand,
4,52,40,120,one-hand,
4,53,20,80,one-hand,
4,54,0,100,one-hand,
4,55,10,80,one-hand,
4,56,40,80,one-hand,
4,57,10,120,one-hand,
4,58,0,160,one-hand,
4,59,20,160,one-hand,
4,60,0,140,one-hand,
4,61,10,100,one-hand,
4,62,40,160,one-hand,
4,63,10,80,one-hand,
4,64,20,180,one-hand,
4,65,10,100,one-hand,
4,66,40,160,one-hand,
4,67,10,80,one-hand,
4,68,10,120,one-hand,
4,69,40,80,one-hand,
4,70,10,140,one-hand,
4,71,10,100,one-hand,
4,72,20,160,one-hand,
4,73,10,180,one-hand,
4,74,40,140,one-hand,
4,75,20,100,one-hand,
4,76,40,100,one-hand,
4,77,20,80,one-hand,
4,78,10,180,one-hand,
4,79,0,180,one-hand,
4,80,10,140,one-hand,
4,81,0,80,one-hand,
4,82,40,160,one-hand,
4,83,0,120,one-hand,
4,84,40,120,one-hand,
4,85,40,100,one-hand,
4,86,20,100,one-hand,
4,87,40,140,one-hand,
4,88,40,140,one-hand,
4,89,10,160,one-hand,
4,90,40,180,one-hand,
4,91,20,120,one-hand,
4,92,10,140,one-hand,
4,93,10,140,one-hand,
4,94,20,120,one-hand,
4,95,20,120,one-hand,
4,96,10,180,two-hand,
4,97,20,160,two-hand,
4,98,40,160,two-hand,
4,99,20,160,two-hand,
4,100,10,120,two-hand,
4,101,10,160,two-hand,
4,102,20,120,two-hand,
4,103,40,100,two-hand,
4,104,40,180,two-hand,
4,105,40,180,two-hand,
4,106,40,160,two-hand,
4,107,20,180,two-hand,
4,108,10,100,two-hand,
4,109,0,100,two-hand,
4,110,20,140,two-hand,
4,111,20,80,two-hand,
4,112,20,100,two-hand,
4,113,10,180,two-hand,
4,114,20,120,two-hand,
4,115,20,120,two-hand,
4,116,0,80,two-hand,
4,117,20,120,two-hand,
4,118,40,80,two-hand,
4,119,10,160,two-hand,
4,120,10,120,two-hand,
4,121,10,180,two-hand,
4,122,0,180,two-hand,
4,123,10,80,two-hand,
4,124,40,100,two-hand,
4,125,40,140,two-hand,
4,126,10,120,two-hand,
4,127,10,140,two-hand,
4,128,40,140,two-hand,
4,129,10,140,two-hand,
4,130,0,160,two-hand,
4,131,10,180,two-hand,
4,132,0,180,two-hand,
4,133,0,80,two-hand,
4,134,0,100,two-hand,
4,135,0,120,two-hand,
4,136,10,80,two-hand,
4,137,0,100,two-hand,
4,138,20,100,two-hand,
4,139,20,80,two-hand,
4,140,10,100,two-hand,
4,141,40,80,two-hand,
4,142,20,180,two-hand,
4,143,0,80,two-hand,
4,144,40,120,two-hand,
4,145,20,140,two-hand,
4,146,0,160,two-hand,
4,147,40,160,two-hand,
4,148,0,120,two-hand,
4,149,40,160,two-hand,
4,150,10,120,two-hand,
4,151,20,80,two-hand,
4,152,40,120,two-hand,
4,153,40,100,two-hand,
4,154,40,140,two-hand,
4,155,20,140,two-hand,
4,156,20,140,two-hand,
4,157,0,140,two-hand,
4,158,20,100,two-hand,
4,159,10,100,two-hand,
4,160,20,180,two-hand,
4,161,20,160,two-hand,
4,162,10,160,two-hand,
4,163,40,100,two-hand,
4,164,0,120,two-hand,
4,165,10,140,two-hand,
4,166,10,100,two-hand,
4,167,0,160,two-hand,
4,168,0,100,two-hand,
4,169,40,80,two-hand,
4,170,0,140,two-hand,
4,171,0,140,two-hand,
4,172,40,180,two-hand,
4,173,0,80,two-hand,
4,174,0,180,two-hand,
4,175,10,140,two-hand,
4,176,0,120,two-hand,
4,177,10,160,two-hand,
4,178,0,160,two-hand,
4,179,20,180,two-hand,
4,180,40,140,two-hand,
4,181,40,180,two-hand,
4,182,20,100,two-hand,
4,183,10,80,two-hand,
4,184,40,120,two-hand,
4,185,20,160,two-hand,
4,186,0,180,two-hand,
4,187,20,80,two-hand,
4,188,40,120,two-hand,
4,189,40,80,two-hand,
4,190,10,80,two-hand,
4,191,0,140,two-hand,
