pid,trial,visualSize,scenario,delayTime,direction,congruency,time,distance
7,0,100,two-hand,0.5,expand,,,
7,1,80,two-hand,0.5,expand,,,
7,2,80,two-hand,0.5,expand,,,
7,3,140,two-hand,0.5,expand,,,
7,4,220,two-hand,0.5,expand,,,
7,5,180,two-hand,0.5,expand,,,
7,6,220,two-hand,0.5,expand,,,
7,7,120,two-hand,0.5,expand,,,
7,8,180,two-hand,0.5,expand,,,
7,9,160,two-hand,0.5,expand,,,
7,10,180,two-hand,0.5,expand,,,
7,11,220,two-hand,0.5,expand,,,
7,12,80,two-hand,0.5,expand,,,
7,13,240,two-hand,0.5,expand,,,
7,14,120,two-hand,0.5,expand,,,
7,15,100,two-hand,0.5,expand,,,
7,16,120,two-hand,0.5,expand,,,
7,17,240,two-hand,0.5,expand,,,
7,18,80,two-hand,0.5,expand,,,
7,19,80,two-hand,0.5,expand,,,
7,20,160,two-hand,0.5,expand,,,
7,21,100,two-hand,0.5,expand,,,
7,22,240,two-hand,0.5,expand,,,
7,23,160,two-hand,0.5,expand,,,
7,24,100,two-hand,0.5,expand,,,
7,25,200,two-hand,0.5,expand,,,
7,26,140,two-hand,0.5,expand,,,
7,27,160,two-hand,0.5,expand,,,
7,28,220,two-hand,0.5,expand,,,
7,29,120,two-hand,0.5,expand,,,
7,30,120,two-hand,0.5,expand,,,
7,31,180,two-hand,0.5,expand,,,
7,32,240,two-hand,0.5,expand,,,
7,33,220,two-hand,0.5,expand,,,
7,34,200,two-hand,0.5,expand,,,
7,35,200,two-hand,0.5,expand,,,
7,36,200,two-hand,0.5,expand,,,
7,37,160,two-hand,0.5,expand,,,
7,38,140,two-hand,0.5,expand,,,
7,39,140,two-hand,0.5,expand,,,
7,40,180,two-hand,0.5,expand,,,
7,41,140,two-hand,0.5,expand,,,
7,42,200,two-hand,0.5,expand,,,
7,43,100,two-hand,0.5,expand,,,
7,44,240,two-hand,0.5,expand,,,
7,45,120,one-hand,0.5,expand,,,
7,46,100,one-hand,0.5,expand,,,
7,47,180,one-hand,0.5,expand,,,
7,48,120,one-hand,0.5,expand,,,
7,49,140,one-hand,0.5,expand,,,
7,50,140,one-hand,0.5,expand,,,
7,51,200,one-hand,0.5,expand,,,
7,52,220,one-hand,0.5,expand,,,
7,53,140,one-hand,0.5,expand,,,
7,54,220,one-hand,0.5,expand,,,
7,55,240,one-hand,0.5,expand,,,
7,56,80,one-hand,0.5,expand,,,
7,57,160,one-hand,0.5,expand,,,
7,58,160,one-hand,0.5,expand,,,
7,59,140,one-hand,0.5,expand,,,
7,60,220,one-hand,0.5,expand,,,
7,61,240,one-hand,0.5,expand,,,
7,62,160,one-hand,0.5,expand,,,
7,63,80,one-hand,0.5,expand,,,
7,64,160,one-hand,0.5,expand,,,
7,65,120,one-hand,0.5,expand,,,
7,66,80,one-hand,0.5,expand,,,
7,67,200,one-hand,0.5,expand,,,
7,68,80,one-hand,0.5,expand,,,
7,69,200,one-hand,0.5,expand,,,
7,70,180,one-hand,0.5,expand,,,
7,71,180,one-hand,0.5,expand,,,
7,72,100,one-hand,0.5,expand,,,
7,73,140,one-hand,0.5,expand,,,
7,74,220,one-hand,0.5,expand,,,
7,75,80,one-hand,0.5,expand,,,
7,76,200,one-hand,0.5,expand,,,
7,77,240,one-hand,0.5,expand,,,
7,78,160,one-hand,0.5,expand,,,
7,79,180,one-hand,0.5,expand,,,
7,80,180,one-hand,0.5,expand,,,
7,81,100,one-hand,0.5,expand,,,
7,82,120,one-hand,0.5,expand,,,
7,83,100,one-hand,0.5,expand,,,
7,84,240,one-hand,0.5,expand,,,
7,85,120,one-hand,0.5,expand,,,
7,86,100,one-hand,0.5,expand,,,
7,87,220,one-hand,0.5,expand,,,
7,88,240,one-hand,0.5,expand,,,
7,89,200,one-hand,0.5,expand,,,
