pid,trial,shape,rendering,congruency
9,0,large,slow,
9,1,medium,fast,
9,2,slope,fast,
9,3,slope,slow,
9,4,large,fast,
9,5,medium,static,
9,6,medium,slow,
9,7,medium,fast,
9,8,slope,slow,
9,9,large,static,
9,10,concave,slow,
9,11,concave,static,
9,12,convex,static,
9,13,small,slow,
9,14,small,static,
9,15,convex,fast,
9,16,convex,static,
9,17,large,static,
9,18,convex,static,
9,19,convex,slow,
9,20,large,fast,
9,21,convex,fast,
9,22,concave,static,
9,23,concave,slow,
9,24,small,slow,
9,25,concave,static,
9,26,concave,static,
9,27,convex,fast,
9,28,small,static,
9,29,convex,fast,
9,30,convex,static,
9,31,concave,fast,
9,32,concave,fast,
9,33,large,fast,
9,34,concave,slow,
9,35,large,slow,
9,36,slope,static,
9,37,large,slow,
9,38,slope,fast,
9,39,medium,slow,
9,40,small,static,
9,41,medium,static,
9,42,medium,fast,
9,43,large,static,
9,44,slope,static,
9,45,large,fast,
9,46,slope,static,
9,47,slope,static,
9,48,small,static,
9,49,large,static,
9,50,slope,fast,
9,51,medium,static,
9,52,medium,static,
9,53,slope,slow,
9,54,concave,slow,
9,55,large,static,
9,56,small,slow,
9,57,concave,fast,
9,58,convex,slow,
9,59,concave,slow,
9,60,medium,slow,
9,61,large,fast,
9,62,medium,slow,
9,63,small,fast,
9,64,medium,slow,
9,65,slope,static,
9,66,small,slow,
9,67,small,static,
9,68,small,slow,
9,69,small,fast,
9,70,slope,slow,
9,71,slope,fast,
9,72,large,slow,
9,73,small,fast,
9,74,convex,static,
9,75,large,slow,
9,76,convex,slow,
9,77,small,fast,
9,78,medium,fast,
9,79,medium,static,
9,80,concave,fast,
9,81,convex,slow,
9,82,small,fast,
9,83,concave,fast,
9,84,convex,slow,
9,85,slope,fast,
9,86,convex,fast,
9,87,medium,fast,
9,88,concave,static,
9,89,slope,slow,
