pid,trial,physical_speed,visual_end_size,scenario,congruency
7,0,-40,40,two-hand,
7,1,-20,40,two-hand,
7,2,-10,35,two-hand,
7,3,-20,35,two-hand,
7,4,-10,35,two-hand,
7,5,0,45,two-hand,
7,6,0,35,two-hand,
7,7,-40,35,two-hand,
7,8,0,45,two-hand,
7,9,-40,45,two-hand,
7,10,-40,55,two-hand,
7,11,-20,55,two-hand,
7,12,0,55,two-hand,
7,13,-40,50,two-hand,
7,14,-20,55,two-hand,
7,15,-40,40,two-hand,
7,16,0,55,two-hand,
7,17,-20,35,two-hand,
7,18,0,60,two-hand,
7,19,-40,50,two-hand,
7,20,-40,50,two-hand,
7,21,-10,40,two-hand,
7,22,-10,45,two-hand,
7,23,-40,45,two-hand,
7,24,-20,50,two-hand,
7,25,-20,55,two-hand,
7,26,-20,55,two-hand,
7,27,0,50,two-hand,
7,28,-20,45,two-hand,
7,29,-10,50,two-hand,
7,30,0,45,two-hand,
7,31,-40,40,two-hand,
7,32,0,35,two-hand,
7,33,-20,35,two-hand,
7,34,-10,40,two-hand,
7,35,0,50,two-hand,
7,36,0,35,two-hand,
7,37,-10,50,two-hand,
7,38,-40,35,two-hand,
7,39,0,45,two-hand,
7,40,-40,55,two-hand,
7,41,-20,60,two-hand,
7,42,-10,35,two-hand,
7,43,0,40,two-hand,
7,44,0,40,two-hand,
7,45,-10,40,two-hand,
7,46,-40,60,two-hand,
7,47,-10,60,two-hand,
7,48,-40,45,two-hand,
7,49,-20,60,two-hand,
7,50,0,60,two-hand,
7,51,0,60,two-hand,
7,52,-40,60,two-hand,
7,53,-10,50,two-hand,
7,54,0,55,two-hand,
7,55,-10,55,two-hand,
7,56,-10,60,two-hand,
7,57,0,35,two-hand,
7,58,-10,50,two-hand,
7,59,-40,45,two-hand,
7,60,-10,55,two-hand,
7,61,-10,55,two-hand,
7,62,-20,50,two-hand,
7,63,-20,40,two-hand,
7,64,-40,35,two-hand,
7,65,-40,40,two-hand,
7,66,-10,45,two-hand,
7,67,-10,60,two-hand,
7,68,-40,50,two-hand,
7,69,-20,40,two-hand,
7,70,-10,45,two-hand,
7,71,-10,55,two-hand,
7,72,-20,45,two-hand,
7,73,0,40,two-hand,
7,74,0,40,two-hand,
7,75,-20,45,two-hand,
7,76,-40,60,two-hand,
7,77,-10,40,two-hand,
7,78,-40,55,two-hand,
7,79,-20,50,two-hand,
7,80,-20,50,two-hand,
7,81,-20,60,two-hand,
7,82,-20,40,two-hand,
7,83,-20,45,two-hand,
7,84,0,55,two-hand,
7,85,0,50,two-hand,
7,86,-20,60,two-hand,
7,87,-10,60,two-hand,
7,88,-40,35,two-hand,
7,89,-10,35,two-hand,
7,90,-40,55,two-hand,
7,91,0,50,two-hand,
7,92,0,60,two-hand,
7,93,-20,35,two-hand,
7,94,-40,60,two-hand,
7,95,-10,45,two-hand,
7,96,-10,60,one-hand,
7,97,0,60,one-hand,
7,98,-20,40,one-hand,
7,99,-40,60,one-hand,
7,100,-10,45,one-hand,
7,101,-10,45,one-hand,
7,102,-40,50,one-hand,
7,103,0,40,one-hand,
7,104,-20,35,one-hand,
7,105,0,60,one-hand,
7,106,-20,60,one-hand,
7,107,0,40,one-hand,
7,108,-10,50,one-hand,
7,109,0,60,one-hand,
7,110,-10,50,one-hand,
7,111,-10,35,one-hand,
7,112,-10,50,one-hand,
7,113,-40,55,one-hand,
7,114,-40,40,one-hand,
7,115,-10,40,one-hand,
7,116,-10,35,one-hand,
7,117,0,35,one-hand,
7,118,0,35,one-hand,
7,119,-20,45,one-hand,
7,120,-10,55,one-hand,
7,121,-20,55,one-hand,
7,122,0,55,one-hand,
7,123,-10,60,one-hand,
7,124,-20,35,one-hand,
7,125,0,55,one-hand,
7,126,-20,50,one-hand,
7,127,0,55,one-hand,
7,128,-20,45,one-hand,
7,129,0,45,one-hand,
7,130,-10,55,one-hand,
7,131,-40,45,one-hand,
7,132,-40,40,one-hand,
7,133,0,40,one-hand,
7,134,-40,35,one-hand,
7,135,-10,55,one-hand,
7,136,-40,45,one-hand,
7,137,-40,50,one-hand,
7,138,0,55,one-hand,
7,139,-40,35,one-hand,
7,140,-20,35,one-hand,
7,141,-10,45,one-hand,
7,142,-40,45,one-hand,
7,143,-20,40,one-hand,
7,144,-10,40,one-hand,
7,145,0,45,one-hand,
7,146,-10,60,one-hand,
7,147,0,45,one-hand,
7,148,-10,40,one-hand,
7,149,-20,45,one-hand,
7,150,-40,45,one-hand,
7,151,0,50,one-hand,
7,152,0,35,one-hand,
7,153,-40,50,one-hand,
7,154,-10,50,one-hand,
7,155,-40,55,one-hand,
7,156,-20,40,one-hand,
7,157,-40,40,one-hand,
7,158,0,50,one-hand,
7,159,-20,40,one-hand,
7,160,-20,55,one-hand,
7,161,-20,50,one-hand,
7,162,-20,35,one-hand,
7,163,-10,45,one-hand,
7,164,0,45,one-hand,
7,165,-20,55,one-hand,
7,166,0,50,one-hand,
7,167,-40,55,one-hand,
7,168,-20,50,one-hand,
7,169,-40,50,one-hand,
7,170,0,60,one-hand,
7,171,-10,55,one-hand,
7,172,-40,60,one-hand,
7,173,-40,35,one-hand,
7,174,-40,35,one-hand,
7,175,-10,40,one-hand,
7,176,-40,55,one-hand,
7,177,0,50,one-hand,
7,178,-10,35,one-hand,
7,179,-20,45,one-hand,
7,180,-40,60,one-hand,
7,181,-40,60,one-hand,
7,182,-20,60,one-hand,
7,183,-10,60,one-hand,
7,184,-20,55,one-hand,
7,185,-20,50,one-hand,
7,186,-20,60,one-hand,
7,187,0,35,one-hand,
7,188,-40,40,one-hand,
7,189,-10,35,one-hand,
7,190,-20,60,one-hand,
7,191,0,40,one-hand,
