pid,trial,visualSize,scenario,delayTime,direction,congruency,time,distance
6,0,50,two-hand,0.5,shrink,,,
6,1,30,two-hand,0.5,shrink,,,
6,2,35,two-hand,0.5,shrink,,,
6,3,35,two-hand,0.5,shrink,,,
6,4,60,two-hand,0.5,shrink,,,
6,5,25,two-hand,0.5,shrink,,,
6,6,40,two-hand,0.5,shrink,,,
6,7,40,two-hand,0.5,shrink,,,
6,8,25,two-hand,0.5,shrink,,,
6,9,20,two-hand,0.5,shrink,,,
6,10,40,two-hand,0.5,shrink,,,
6,11,60,two-hand,0.5,shrink,,,
6,12,50,two-hand,0.5,shrink,,,
6,13,50,two-hand,0.5,shrink,,,
6,14,25,two-hand,0.5,shrink,,,
6,15,30,two-hand,0.5,shrink,,,
6,16,45,two-hand,0.5,shrink,,,
6,17,35,two-hand,0.5,shrink,,,
6,18,20,two-hand,0.5,shrink,,,
6,19,55,two-hand,0.5,shrink,,,
6,20,55,two-hand,0.5,shrink,,,
6,21,30,two-hand,0.5,shrink,,,
6,22,20,two-hand,0.5,shrink,,,
6,23,60,two-hand,0.5,shrink,,,
6,24,40,two-hand,0.5,shrink,,,
6,25,35,two-hand,0.5,shrink,,,
6,26,20,two-hand,0.5,shrink,,,
6,27,60,two-hand,0.5,shrink,,,
6,28,45,two-hand,0.5,shrink,,,
6,29,55,two-hand,0.5,shrink,,,
6,30,50,two-hand,0.5,shrink,,,
6,31,50,two-hand,0.5,shrink,,,
6,32,40,two-hand,0.5,shrink,,,
6,33,25,two-hand,0.5,shrink,,,
6,34,30,two-hand,0.5,shrink,,,
6,35,30,two-hand,0.5,shrink,,,
6,36,45,two-hand,0.5,shrink,,,
6,37,55,two-hand,0.5,shrink,,,
6,38,35,two-hand,0.5,shrink,,,
6,39,45,two-hand,0.5,shrink,,,
6,40,20,two-hand,0.5,shrink,,,
6,41,55,two-hand,0.5,shrink,,,
6,42,60,two-hand,0.5,shrink,,,
6,43,25,two-hand,0.5,shrink,,,
6,44,45,two-hand,0.5,shrink,,,
6,45,45,one-hand,0.5,shrink,,,
6,46,40,one-hand,0.5,shrink,,,
6,47,20,one-hand,0.5,shrink,,,
6,48,35,one-hand,0.5,shrink,,,
6,49,55,one-hand,0.5,shrink,,,
6,50,35,one-hand,0.5,shrink,,,
6,51,25,one-hand,0.5,shrink,,,
6,52,40,one-hand,0.5,shrink,,,
6,53,55,one-hand,0.5,shrink,,,
6,54,50,one-hand,0.5,shrink,,,
6,55,45,one-hand,0.5,shrink,,,
6,56,45,one-hand,0.5,shrink,,,
6,57,50,one-hand,0.5,shrink,,,
6,58,40,one-hand,0.5,shrink,,,
6,59,35,one-hand,0.5,shrink,,,
6,60,25,one-hand,0.5,shrink,,,
6,61,20,one-hand,0.5,shrink,,,
6,62,30,one-hand,0.5,shrink,,,
6,63,60,one-hand,0.5,shrink,,,
6,64,50,one-hand,0.5,shrink,,,
6,65,60,one-hand,0.5,shrink,,,
6,66,20,one-hand,0.5,shrink,,,
6,67,40,one-hand,0.5,shrink,,,
6,68,50,one-hand,0.5,shrink,,,
6,69,30,one-hand,0.5,shrink,,,
6,70,20,one-hand,0.5,shrink,,,
6,71,60,one-hand,0.5,shrink,,,
6,72,55,one-hand,0.5,shrink,,,
6,73,30,one-hand,0.5,shrink,,,
6,74,35,one-hand,0.5,shrink,,,
6,75,45,one-hand,0.5,shrink,,,
6,76,40,one-hand,0.5,shrink,,,
6,77,55,one-hand,0.5,shrink,,,
6,78,45,one-hand,0.5,shrink,,,
6,79,30,one-hand,0.5,shrink,,,
6,80,35,one-hand,0.5,shrink,,,
6,81,25,one-hand,0.5,shrink,,,
6,82,60,one-hand,0.5,shrink,,,
6,83,55,one-hand,0.5,shrink,,,
6,84,60,one-hand,0.5,shrink,,,
6,85,30,one-hand,0.5,shrink,,,
6,86,25,one-hand,0.5,shrink,,,
6,87,25,one-hand,0.5,shrink,,,
6,88,50,one-hand,0.5,shrink,,,
6,89,20,one-hand,0.5,shrink,,,
