pid,trial,physical,visual,direction,congruency,binary
4,0,40,400,shrink,,
4,1,30,300,shrink,,
4,2,30,200,shrink,,
4,3,30,300,shrink,,
4,4,20,400,shrink,,
4,5,40,50,shrink,,
4,6,10,50,shrink,,
4,7,20,25,shrink,,
4,8,30,400,shrink,,
4,9,40,200,shrink,,
4,10,20,75,shrink,,
4,11,20,50,shrink,,
4,12,10,300,shrink,,
4,13,10,75,shrink,,
4,14,10,100,shrink,,
4,15,10,200,shrink,,
4,16,40,25,shrink,,
4,17,30,75,shrink,,
4,18,10,400,shrink,,
4,19,40,50,shrink,,
4,20,30,25,shrink,,
4,21,20,100,shrink,,
4,22,10,75,shrink,,
4,23,30,100,shrink,,
4,24,10,75,shrink,,
4,25,40,200,shrink,,
4,26,10,100,shrink,,
4,27,10,100,shrink,,
4,28,30,50,shrink,,
4,29,10,100,shrink,,
4,30,20,200,shrink,,
4,31,40,300,shrink,,
4,32,40,200,shrink,,
4,33,30,75,shrink,,
4,34,20,200,shrink,,
4,35,40,25,shrink,,
4,36,40,300,shrink,,
4,37,40,50,shrink,,
4,38,30,50,shrink,,
4,39,40,400,shrink,,
4,40,20,50,shrink,,
4,41,10,25,shrink,,
4,42,10,200,shrink,,
4,43,10,400,shrink,,
4,44,40,100,shrink,,
4,45,20,50,shrink,,
4,46,30,75,shrink,,
4,47,40,25,shrink,,
4,48,30,400,shrink,,
4,49,30,50,shrink,,
4,50,10,100,shrink,,
4,51,20,400,shrink,,
4,52,20,400,shrink,,
4,53,40,75,shrink,,
4,54,10,400,shrink,,
4,55,30,200,shrink,,
4,56,30,300,shrink,,
4,57,20,400,shrink,,
4,58,20,400,shrink,,
4,59,10,25,shrink,,
4,60,40,75,shrink,,
4,61,40,25,shrink,,
4,62,10,300,shrink,,
4,63,20,300,shrink,,
4,64,20,300,shrink,,
4,65,40,300,shrink,,
4,66,30,75,shrink,,
4,67,10,200,shrink,,
4,68,30,50,shrink,,
4,69,40,50,shrink,,
4,70,10,75,shrink,,
4,71,30,50,shrink,,
4,72,10,75,shrink,,
4,73,20,75,shrink,,
4,74,20,50,shrink,,
4,75,40,400,shrink,,
4,76,20,100,shrink,,
4,77,20,25,shrink,,
4,78,10,50,shrink,,
4,79,30,300,shrink,,
4,80,30,100,shrink,,
4,81,20,300,shrink,,
4,82,10,50,shrink,,
4,83,40,100,shrink,,
4,84,10,300,shrink,,
4,85,40,100,shrink,,
4,86,30,200,shrink,,
4,87,30,200,shrink,,
4,88,40,75,shrink,,
4,89,20,25,shrink,,
4,90,20,75,shrink,,
4,91,30,400,shrink,,
4,92,20,100,shrink,,
4,93,10,400,shrink,,
4,94,20,75,shrink,,
4,95,40,50,shrink,,
4,96,40,100,shrink,,
4,97,20,200,shrink,,
4,98,10,25,shrink,,
4,99,10,300,shrink,,
4,100,10,50,shrink,,
4,101,20,75,shrink,,
4,102,30,100,shrink,,
4,103,30,25,shrink,,
4,104,40,100,shrink,,
4,105,30,75,shrink,,
4,106,20,25,shrink,,
4,107,10,200,shrink,,
4,108,40,400,shrink,,
4,109,40,300,shrink,,
4,110,20,300,shrink,,
4,111,10,300,shrink,,
4,112,40,400,shrink,,
4,113,40,75,shrink,,
4,114,10,25,shrink,,
4,115,10,400,shrink,,
4,116,20,200,shrink,,
4,117,10,25,shrink,,
4,118,30,400,shrink,,
4,119,30,25,shrink,,
4,120,30,300,shrink,,
4,121,20,50,shrink,,
4,122,40,300,shrink,,
4,123,20,100,shrink,,
4,124,30,400,shrink,,
4,125,10,200,shrink,,
4,126,30,100,shrink,,
4,127,30,100,shrink,,
4,128,20,100,shrink,,
4,129,40,200,shrink,,
4,130,30,25,shrink,,
4,131,40,25,shrink,,
4,132,40,200,shrink,,
4,133,20,300,shrink,,
4,134,10,50,shrink,,
4,135,30,200,shrink,,
4,136,30,25,shrink,,
4,137,20,25,shrink,,
4,138,40,75,shrink,,
4,139,20,200,shrink,,
4,56,20,200,grow,,
4,57,40,300,grow,,
4,58,30,50,grow,,
4,59,30,300,grow,,
4,60,10,75,grow,,
4,61,40,200,grow,,
4,62,30,100,grow,,
4,63,20,25,grow,,
4,64,20,200,grow,,
4,65,20,50,grow,,
4,66,40,400,grow,,
4,67,10,25,grow,,
4,68,40,75,grow,,
4,69,30,75,grow,,
4,70,20,300,grow,,
4,71,10,50,grow,,
4,72,30,300,grow,,
4,73,20,400,grow,,
4,74,10,75,grow,,
4,75,10,100,grow,,
4,76,30,100,grow,,
4,77,20,75,grow,,
4,78,30,50,grow,,
4,79,40,100,grow,,
4,80,40,100,grow,,
4,81,40,200,grow,,
4,82,20,75,grow,,
4,83,10,300,grow,,
4,84,40,300,grow,,
4,85,10,75,grow,,
4,86,20,300,grow,,
4,87,30,400,grow,,
4,88,40,25,grow,,
4,89,20,50,grow,,
4,90,10,50,grow,,
4,91,40,75,grow,,
4,92,20,400,grow,,
4,93,10,400,grow,,
4,94,10,200,grow,,
4,95,40,25,grow,,
4,96,30,400,grow,,
4,97,30,100,grow,,
4,98,10,25,grow,,
4,99,10,25,grow,,
4,100,20,400,grow,,
4,101,40,400,grow,,
4,102,20,100,grow,,
4,103,30,200,grow,,
4,104,30,25,grow,,
4,105,10,75,grow,,
4,106,30,75,grow,,
4,107,30,100,grow,,
4,108,40,75,grow,,
4,109,30,400,grow,,
4,110,40,100,grow,,
4,111,10,100,grow,,
4,112,30,50,grow,,
4,113,20,400,grow,,
4,114,40,200,grow,,
4,115,30,100,grow,,
4,116,20,50,grow,,
4,117,20,75,grow,,
4,118,40,25,grow,,
4,119,20,400,grow,,
4,120,20,25,grow,,
4,121,30,25,grow,,
4,122,20,100,grow,,
4,123,40,100,grow,,
4,124,40,300,grow,,
4,125,10,200,grow,,
4,126,40,50,grow,,
4,127,10,300,grow,,
4,128,10,300,grow,,
4,129,20,50,grow,,
4,130,10,25,grow,,
4,131,40,100,grow,,
4,132,10,100,grow,,
4,133,40,200,grow,,
4,134,10,100,grow,,
4,135,20,25,grow,,
4,136,20,100,grow,,
4,137,30,25,grow,,
4,138,10,300,grow,,
4,139,40,200,grow,,
4,140,30,200,grow,,
4,141,20,100,grow,,
4,142,20,25,grow,,
4,143,40,75,grow,,
4,144,30,400,grow,,
4,145,10,200,grow,,
4,146,20,50,grow,,
4,147,20,100,grow,,
4,148,30,50,grow,,
4,149,10,100,grow,,
4,150,30,25,grow,,
4,151,40,50,grow,,
4,152,20,200,grow,,
4,153,30,200,grow,,
4,154,10,50,grow,,
4,155,40,300,grow,,
4,156,10,200,grow,,
4,157,30,75,grow,,
4,158,10,50,grow,,
4,159,30,300,grow,,
4,160,20,200,grow,,
4,161,30,400,grow,,
4,162,30,25,grow,,
4,163,20,200,grow,,
4,164,40,50,grow,,
4,165,30,75,grow,,
4,166,10,400,grow,,
4,167,10,200,grow,,
4,168,40,50,grow,,
4,169,10,300,grow,,
4,170,30,50,grow,,
4,171,30,200,grow,,
4,172,20,75,grow,,
4,173,10,75,grow,,
4,174,20,25,grow,,
4,175,40,400,grow,,
4,176,10,50,grow,,
4,177,10,400,grow,,
4,178,20,300,grow,,
4,179,40,400,grow,,
4,180,30,300,grow,,
4,181,10,25,grow,,
4,182,30,200,grow,,
4,183,30,75,grow,,
4,184,40,75,grow,,
4,185,40,400,grow,,
4,186,40,25,grow,,
4,187,20,300,grow,,
4,188,30,300,grow,,
4,189,20,75,grow,,
4,190,40,50,grow,,
4,191,20,300,grow,,
4,192,10,400,grow,,
4,193,40,300,grow,,
4,194,10,400,grow,,
4,195,40,25,grow,,
