pid,trial,staircase,volumeSize,visualSize,response,reversal,step
3,0,A,1,0,0,0,0.2
3,1,B,1,2,1,0,-0.2
3,2,A,1,0.2,0,0,0.2
3,3,B,1,1.8,1,0,-0.2
3,4,A,1,0.4,0,0,0.2
3,5,B,1,1.6,1,0,-0.2
3,6,A,1,0.6,0,0,0.2
3,7,B,1,1.4,1,0,-0.2
3,8,A,1,0.8,0,0,0.2
3,9,B,1,1.2,1,0,-0.2
3,10,A,1,1,0,0,0.2
3,11,B,1,1,1,0,-0.2
3,12,A,1,1.2,1,1,-0.1
3,13,B,1,0.8,0,1,0.1
3,14,A,1,1.1,1,0,-0.1
3,15,B,1,0.9,1,1,-0.1
3,16,A,1,1,1,0,-0.1
3,17,B,1,0.8,0,1,0.1
3,18,A,1,0.9,1,0,-0.1
3,19,B,1,0.9,0,0,0.1
3,20,A,1,0.8,0,1,0.1
3,21,B,1,1,1,1,-0.1
3,22,A,1,0.9,0,0,0.1
3,23,B,1,0.9,0,1,0.1
3,24,A,1,1,1,1,-0.1
3,25,B,1,1,0,0,0.1
3,26,A,1,0.9,0,1,0.1
3,27,B,1,1.1,1,1,-0.1
3,28,A,1,1,0,0,0.1
3,29,B,1,1,1,0,-0.1
3,30,A,1,1.1,1,1,-0.1
3,31,B,1,0.9,1,0,-0.1
3,32,A,1,1,1,0,-0.1
3,33,B,1,0.8,1,0,-0.1
3,34,A,1,0.9,0,1,0.1
3,35,B,1,0.7,0,1,0.1
3,36,A,1,1,1,1,-0.1
3,37,B,1,0.8,1,1,-0.1
3,38,A,1,0.9,1,0,-0.1
3,39,B,1,0.7,1,0,-0.1
3,40,A,1,0.8,1,0,-0.1
3,41,B,1,0.6,1,0,-0.1
3,42,A,1,0.7,1,0,-0.1
3,43,B,1,0.5,1,0,-0.1
3,44,A,1,0.6,1,0,-0.1
3,45,B,1,0.4,1,0,-0.1
3,46,A,1,0.5,0,1,0.1
3,47,B,1,0.3,0,1,0.1
3,48,A,1,0.6,0,0,0.1
3,49,B,1,0.4,0,0,0.1
3,50,A,1,0.7,1,1,-0.1
3,51,B,1,0.5,0,0,0.1
3,52,A,1,0.6,0,1,0.1
3,53,B,1,0.6,0,0,0.1
3,54,A,1,,,,
3,55,B,1,0.7,1,1,-0.1
3,56,A,1,,,,
3,57,B,1,,,,
3,58,A,1,,,,
3,59,B,1,,,,
3,60,A,1,,,,
3,61,B,1,,,,
3,62,A,1,,,,
3,63,B,1,,,,
3,64,A,1,,,,
3,65,B,1,,,,
3,66,A,1,,,,
3,67,B,1,,,,
