pid,trial,staircase,volumeSize,visualSize,response,reversal,step
4,0,A,2.0,1,,,
4,1,B,0.0,1,,,
4,2,A,,1,,,
4,3,B,,1,,,
4,4,A,,1,,,
4,5,B,,1,,,
4,6,A,,1,,,
4,7,B,,1,,,
4,8,A,,1,,,
4,9,B,,1,,,
4,10,A,,1,,,
4,11,B,,1,,,
4,12,A,,1,,,
4,13,B,,1,,,
4,14,A,,1,,,
4,15,B,,1,,,
4,16,A,,1,,,
4,17,B,,1,,,
4,18,A,,1,,,
4,19,B,,1,,,
4,20,A,,1,,,
4,21,B,,1,,,
4,22,A,,1,,,
4,23,B,,1,,,
4,24,A,,1,,,
4,25,B,,1,,,
4,26,A,,1,,,
4,27,B,,1,,,
4,28,A,,1,,,
4,29,B,,1,,,
4,30,A,,1,,,
4,31,B,,1,,,
4,32,A,,1,,,
4,33,B,,1,,,
4,34,A,,1,,,
4,35,B,,1,,,
4,36,A,,1,,,
4,37,B,,1,,,
4,38,A,,1,,,
4,39,B,,1,,,
4,40,A,,1,,,
4,41,B,,1,,,
4,42,A,,1,,,
4,43,B,,1,,,
4,44,A,,1,,,
4,45,B,,1,,,
4,46,A,,1,,,
4,47,B,,1,,,
4,48,A,,1,,,
4,49,B,,1,,,
4,50,A,,1,,,
4,51,B,,1,,,
4,52,A,,1,,,
4,53,B,,1,,,
4,54,A,,1,,,
4,55,B,,1,,,
4,56,A,,1,,,
4,57,B,,1,,,
4,58,A,,1,,,
4,59,B,,1,,,
4,60,A,,1,,,
4,61,B,,1,,,
4,62,A,,1,,,
4,63,B,,1,,,
4,64,A,,1,,,
4,65,B,,1,,,
4,66,A,,1,,,
4,67,B,,1,,,
4,68,A,,1,,,
4,69,B,,1,,,
4,70,A,,1,,,
4,71,B,,1,,,
4,72,A,,1,,,
4,73,B,,1,,,
4,74,A,,1,,,
4,75,B,,1,,,
4,76,A,,1,,,
4,77,B,,1,,,
4,78,A,,1,,,
4,79,B,,1,,,
4,80,A,,1,,,
4,81,B,,1,,,
4,82,A,,1,,,
4,83,B,,1,,,
4,84,A,,1,,,
4,85,B,,1,,,
4,86,A,,1,,,
4,87,B,,1,,,
4,88,A,,1,,,
4,89,B,,1,,,
4,90,A,,1,,,
4,91,B,,1,,,
4,92,A,,1,,,
4,93,B,,1,,,
4,94,A,,1,,,
4,95,B,,1,,,
4,96,A,,1,,,
4,97,B,,1,,,
4,98,A,,1,,,
4,99,B,,1,,,
4,100,A,,1,,,
4,101,B,,1,,,
4,102,A,,1,,,
4,103,B,,1,,,
4,104,A,,1,,,
4,105,B,,1,,,
4,106,A,,1,,,
4,107,B,,1,,,
4,108,A,,1,,,
4,109,B,,1,,,
4,110,A,,1,,,
4,111,B,,1,,,
4,112,A,,1,,,
4,113,B,,1,,,
4,114,A,,1,,,
4,115,B,,1,,,
4,116,A,,1,,,
4,117,B,,1,,,
4,118,A,,1,,,
4,119,B,,1,,,
4,120,A,,1,,,
4,121,B,,1,,,
4,122,A,,1,,,
4,123,B,,1,,,
4,124,A,,1,,,
4,125,B,,1,,,
4,126,A,,1,,,
4,127,B,,1,,,
4,128,A,,1,,,
4,129,B,,1,,,
4,130,A,,1,,,
4,131,B,,1,,,
4,132,A,,1,,,
4,133,B,,1,,,
4,134,A,,1,,,
4,135,B,,1,,,
4,136,A,,1,,,
4,137,B,,1,,,
4,138,A,,1,,,
4,139,B,,1,,,
4,140,A,,1,,,
4,141,B,,1,,,
4,142,A,,1,,,
4,143,B,,1,,,
4,144,A,,1,,,
4,145,B,,1,,,
4,146,A,,1,,,
4,147,B,,1,,,
4,148,A,,1,,,
4,149,B,,1,,,
4,150,A,,1,,,
4,151,B,,1,,,
4,152,A,,1,,,
4,153,B,,1,,,
4,154,A,,1,,,
4,155,B,,1,,,
4,156,A,,1,,,
4,157,B,,1,,,
4,158,A,,1,,,
4,159,B,,1,,,
4,160,A,,1,,,
4,161,B,,1,,,
4,162,A,,1,,,
4,163,B,,1,,,
4,164,A,,1,,,
4,165,B,,1,,,
4,166,A,,1,,,
4,167,B,,1,,,
4,168,A,,1,,,
4,169,B,,1,,,
4,170,A,,1,,,
4,171,B,,1,,,
4,172,A,,1,,,
4,173,B,,1,,,
4,174,A,,1,,,
4,175,B,,1,,,
4,176,A,,1,,,
4,177,B,,1,,,
4,178,A,,1,,,
4,179,B,,1,,,
4,180,A,,1,,,
4,181,B,,1,,,
4,182,A,,1,,,
4,183,B,,1,,,
4,184,A,,1,,,
4,185,B,,1,,,
4,186,A,,1,,,
4,187,B,,1,,,
4,188,A,,1,,,
4,189,B,,1,,,
4,190,A,,1,,,
4,191,B,,1,,,
4,192,A,,1,,,
4,193,B,,1,,,
4,194,A,,1,,,
4,195,B,,1,,,
4,196,A,,1,,,
4,197,B,,1,,,
4,198,A,,1,,,
4,199,B,,1,,,
4,200,A,,1,,,
4,201,B,,1,,,
4,202,A,,1,,,
4,203,B,,1,,,
4,204,A,,1,,,
4,205,B,,1,,,
4,206,A,,1,,,
4,207,B,,1,,,
4,208,A,,1,,,
4,209,B,,1,,,
4,210,A,,1,,,
4,211,B,,1,,,
4,212,A,,1,,,
4,213,B,,1,,,
4,214,A,,1,,,
4,215,B,,1,,,
4,216,A,,1,,,
4,217,B,,1,,,
4,218,A,,1,,,
4,219,B,,1,,,
4,220,A,,1,,,
4,221,B,,1,,,
4,222,A,,1,,,
4,223,B,,1,,,
4,224,A,,1,,,
4,225,B,,1,,,
4,226,A,,1,,,
4,227,B,,1,,,
4,228,A,,1,,,
4,229,B,,1,,,
4,230,A,,1,,,
4,231,B,,1,,,
4,232,A,,1,,,
4,233,B,,1,,,
4,234,A,,1,,,
4,235,B,,1,,,
4,236,A,,1,,,
4,237,B,,1,,,
4,238,A,,1,,,
4,239,B,,1,,,
4,240,A,,1,,,
4,241,B,,1,,,
4,242,A,,1,,,
4,243,B,,1,,,
4,244,A,,1,,,
4,245,B,,1,,,
4,246,A,,1,,,
4,247,B,,1,,,
4,248,A,,1,,,
4,249,B,,1,,,
4,250,A,,1,,,
4,251,B,,1,,,
4,252,A,,1,,,
4,253,B,,1,,,
4,254,A,,1,,,
4,255,B,,1,,,
4,256,A,,1,,,
4,257,B,,1,,,
4,258,A,,1,,,
4,259,B,,1,,,
4,260,A,,1,,,
4,261,B,,1,,,
4,262,A,,1,,,
4,263,B,,1,,,
4,264,A,,1,,,
4,265,B,,1,,,
4,266,A,,1,,,
4,267,B,,1,,,
4,268,A,,1,,,
4,269,B,,1,,,
4,270,A,,1,,,
4,271,B,,1,,,
4,272,A,,1,,,
4,273,B,,1,,,
4,274,A,,1,,,
4,275,B,,1,,,
4,276,A,,1,,,
4,277,B,,1,,,
4,278,A,,1,,,
4,279,B,,1,,,
4,280,A,,1,,,
4,281,B,,1,,,
4,282,A,,1,,,
4,283,B,,1,,,
4,284,A,,1,,,
4,285,B,,1,,,
4,286,A,,1,,,
4,287,B,,1,,,
4,288,A,,1,,,
4,289,B,,1,,,
4,290,A,,1,,,
4,291,B,,1,,,
4,292,A,,1,,,
4,293,B,,1,,,
4,294,A,,1,,,
4,295,B,,1,,,
4,296,A,,1,,,
4,297,B,,1,,,
4,298,A,,1,,,
4,299,B,,1,,,
