pid,trial,staircase,volumeSize,visualSize,response,reversal,step
7,0,A,1,0.0,,,
7,1,B,1,2.0,,,
7,2,A,1,,,,
7,3,B,1,,,,
7,4,A,1,,,,
7,5,B,1,,,,
7,6,A,1,,,,
7,7,B,1,,,,
7,8,A,1,,,,
7,9,B,1,,,,
7,10,A,1,,,,
7,11,B,1,,,,
7,12,A,1,,,,
7,13,B,1,,,,
7,14,A,1,,,,
7,15,B,1,,,,
7,16,A,1,,,,
7,17,B,1,,,,
7,18,A,1,,,,
7,19,B,1,,,,
7,20,A,1,,,,
7,21,B,1,,,,
7,22,A,1,,,,
7,23,B,1,,,,
7,24,A,1,,,,
7,25,B,1,,,,
7,26,A,1,,,,
7,27,B,1,,,,
7,28,A,1,,,,
7,29,B,1,,,,
7,30,A,1,,,,
7,31,B,1,,,,
7,32,A,1,,,,
7,33,B,1,,,,
7,34,A,1,,,,
7,35,B,1,,,,
7,36,A,1,,,,
7,37,B,1,,,,
7,38,A,1,,,,
7,39,B,1,,,,
7,40,A,1,,,,
7,41,B,1,,,,
7,42,A,1,,,,
7,43,B,1,,,,
7,44,A,1,,,,
7,45,B,1,,,,
7,46,A,1,,,,
7,47,B,1,,,,
7,48,A,1,,,,
7,49,B,1,,,,
7,50,A,1,,,,
7,51,B,1,,,,
7,52,A,1,,,,
7,53,B,1,,,,
7,54,A,1,,,,
7,55,B,1,,,,
7,56,A,1,,,,
7,57,B,1,,,,
7,58,A,1,,,,
7,59,B,1,,,,
7,60,A,1,,,,
7,61,B,1,,,,
7,62,A,1,,,,
7,63,B,1,,,,
7,64,A,1,,,,
7,65,B,1,,,,
7,66,A,1,,,,
7,67,B,1,,,,
7,68,A,1,,,,
7,69,B,1,,,,
7,70,A,1,,,,
7,71,B,1,,,,
7,72,A,1,,,,
7,73,B,1,,,,
7,74,A,1,,,,
7,75,B,1,,,,
7,76,A,1,,,,
7,77,B,1,,,,
7,78,A,1,,,,
7,79,B,1,,,,
7,80,A,1,,,,
7,81,B,1,,,,
7,82,A,1,,,,
7,83,B,1,,,,
7,84,A,1,,,,
7,85,B,1,,,,
7,86,A,1,,,,
7,87,B,1,,,,
7,88,A,1,,,,
7,89,B,1,,,,
7,90,A,1,,,,
7,91,B,1,,,,
7,92,A,1,,,,
7,93,B,1,,,,
7,94,A,1,,,,
7,95,B,1,,,,
7,96,A,1,,,,
7,97,B,1,,,,
7,98,A,1,,,,
7,99,B,1,,,,
7,100,A,1,,,,
7,101,B,1,,,,
7,102,A,1,,,,
7,103,B,1,,,,
7,104,A,1,,,,
7,105,B,1,,,,
7,106,A,1,,,,
7,107,B,1,,,,
7,108,A,1,,,,
7,109,B,1,,,,
7,110,A,1,,,,
7,111,B,1,,,,
7,112,A,1,,,,
7,113,B,1,,,,
7,114,A,1,,,,
7,115,B,1,,,,
7,116,A,1,,,,
7,117,B,1,,,,
7,118,A,1,,,,
7,119,B,1,,,,
7,120,A,1,,,,
7,121,B,1,,,,
7,122,A,1,,,,
7,123,B,1,,,,
7,124,A,1,,,,
7,125,B,1,,,,
7,126,A,1,,,,
7,127,B,1,,,,
7,128,A,1,,,,
7,129,B,1,,,,
7,130,A,1,,,,
7,131,B,1,,,,
7,132,A,1,,,,
7,133,B,1,,,,
7,134,A,1,,,,
7,135,B,1,,,,
7,136,A,1,,,,
7,137,B,1,,,,
7,138,A,1,,,,
7,139,B,1,,,,
7,140,A,1,,,,
7,141,B,1,,,,
7,142,A,1,,,,
7,143,B,1,,,,
7,144,A,1,,,,
7,145,B,1,,,,
7,146,A,1,,,,
7,147,B,1,,,,
7,148,A,1,,,,
7,149,B,1,,,,
7,150,A,1,,,,
7,151,B,1,,,,
7,152,A,1,,,,
7,153,B,1,,,,
7,154,A,1,,,,
7,155,B,1,,,,
7,156,A,1,,,,
7,157,B,1,,,,
7,158,A,1,,,,
7,159,B,1,,,,
7,160,A,1,,,,
7,161,B,1,,,,
7,162,A,1,,,,
7,163,B,1,,,,
7,164,A,1,,,,
7,165,B,1,,,,
7,166,A,1,,,,
7,167,B,1,,,,
7,168,A,1,,,,
7,169,B,1,,,,
7,170,A,1,,,,
7,171,B,1,,,,
7,172,A,1,,,,
7,173,B,1,,,,
7,174,A,1,,,,
7,175,B,1,,,,
7,176,A,1,,,,
7,177,B,1,,,,
7,178,A,1,,,,
7,179,B,1,,,,
7,180,A,1,,,,
7,181,B,1,,,,
7,182,A,1,,,,
7,183,B,1,,,,
7,184,A,1,,,,
7,185,B,1,,,,
7,186,A,1,,,,
7,187,B,1,,,,
7,188,A,1,,,,
7,189,B,1,,,,
7,190,A,1,,,,
7,191,B,1,,,,
7,192,A,1,,,,
7,193,B,1,,,,
7,194,A,1,,,,
7,195,B,1,,,,
7,196,A,1,,,,
7,197,B,1,,,,
7,198,A,1,,,,
7,199,B,1,,,,
7,200,A,1,,,,
7,201,B,1,,,,
7,202,A,1,,,,
7,203,B,1,,,,
7,204,A,1,,,,
7,205,B,1,,,,
7,206,A,1,,,,
7,207,B,1,,,,
7,208,A,1,,,,
7,209,B,1,,,,
7,210,A,1,,,,
7,211,B,1,,,,
7,212,A,1,,,,
7,213,B,1,,,,
7,214,A,1,,,,
7,215,B,1,,,,
7,216,A,1,,,,
7,217,B,1,,,,
7,218,A,1,,,,
7,219,B,1,,,,
7,220,A,1,,,,
7,221,B,1,,,,
7,222,A,1,,,,
7,223,B,1,,,,
7,224,A,1,,,,
7,225,B,1,,,,
7,226,A,1,,,,
7,227,B,1,,,,
7,228,A,1,,,,
7,229,B,1,,,,
7,230,A,1,,,,
7,231,B,1,,,,
7,232,A,1,,,,
7,233,B,1,,,,
7,234,A,1,,,,
7,235,B,1,,,,
7,236,A,1,,,,
7,237,B,1,,,,
7,238,A,1,,,,
7,239,B,1,,,,
7,240,A,1,,,,
7,241,B,1,,,,
7,242,A,1,,,,
7,243,B,1,,,,
7,244,A,1,,,,
7,245,B,1,,,,
