Participant,Technique,FixedFactor,Threshold,Trial,RadiusChange,StepSize,Response,Reversal
4,onehand,visual,lower,1,,,,
4,onehand,visual,lower,2,,,,
4,onehand,visual,lower,3,,,,
4,onehand,visual,lower,4,,,,
4,onehand,visual,lower,5,,,,
4,onehand,visual,lower,6,,,,
4,onehand,visual,lower,7,,,,
4,onehand,visual,lower,8,,,,
4,onehand,visual,lower,9,,,,
4,onehand,visual,lower,10,,,,
4,onehand,visual,lower,11,,,,
4,onehand,visual,lower,12,,,,
4,onehand,visual,lower,13,,,,
4,onehand,visual,lower,14,,,,
4,onehand,visual,lower,15,,,,
4,onehand,visual,lower,16,,,,
4,onehand,visual,lower,17,,,,
4,onehand,visual,lower,18,,,,
4,onehand,visual,lower,19,,,,
4,onehand,visual,lower,20,,,,
4,onehand,visual,lower,21,,,,
4,onehand,visual,lower,22,,,,
4,onehand,visual,lower,23,,,,
4,onehand,visual,lower,24,,,,
4,onehand,visual,lower,25,,,,
4,onehand,visual,lower,26,,,,
4,onehand,visual,lower,27,,,,
4,onehand,visual,lower,28,,,,
4,onehand,visual,lower,29,,,,
4,onehand,visual,lower,30,,,,
4,onehand,visual,lower,31,,,,
4,onehand,visual,lower,32,,,,
4,onehand,visual,lower,33,,,,
4,onehand,visual,lower,34,,,,
4,onehand,visual,lower,35,,,,
4,onehand,visual,lower,36,,,,
4,onehand,visual,lower,37,,,,
4,onehand,visual,lower,38,,,,
4,onehand,visual,lower,39,,,,
4,onehand,visual,lower,40,,,,
4,onehand,visual,lower,41,,,,
4,onehand,visual,lower,42,,,,
4,onehand,visual,lower,43,,,,
4,onehand,visual,lower,44,,,,
4,onehand,visual,lower,45,,,,
4,onehand,visual,lower,46,,,,
4,onehand,visual,lower,47,,,,
4,onehand,visual,lower,48,,,,
4,onehand,visual,lower,49,,,,
4,onehand,visual,lower,50,,,,
4,onehand,physical,lower,1,,,,
4,onehand,physical,lower,2,,,,
4,onehand,physical,lower,3,,,,
4,onehand,physical,lower,4,,,,
4,onehand,physical,lower,5,,,,
4,onehand,physical,lower,6,,,,
4,onehand,physical,lower,7,,,,
4,onehand,physical,lower,8,,,,
4,onehand,physical,lower,9,,,,
4,onehand,physical,lower,10,,,,
4,onehand,physical,lower,11,,,,
4,onehand,physical,lower,12,,,,
4,onehand,physical,lower,13,,,,
4,onehand,physical,lower,14,,,,
4,onehand,physical,lower,15,,,,
4,onehand,physical,lower,16,,,,
4,onehand,physical,lower,17,,,,
4,onehand,physical,lower,18,,,,
4,onehand,physical,lower,19,,,,
4,onehand,physical,lower,20,,,,
4,onehand,physical,lower,21,,,,
4,onehand,physical,lower,22,,,,
4,onehand,physical,lower,23,,,,
4,onehand,physical,lower,24,,,,
4,onehand,physical,lower,25,,,,
4,onehand,physical,lower,26,,,,
4,onehand,physical,lower,27,,,,
4,onehand,physical,lower,28,,,,
4,onehand,physical,lower,29,,,,
4,onehand,physical,lower,30,,,,
4,onehand,physical,lower,31,,,,
4,onehand,physical,lower,32,,,,
4,onehand,physical,lower,33,,,,
4,onehand,physical,lower,34,,,,
4,onehand,physical,lower,35,,,,
4,onehand,physical,lower,36,,,,
4,onehand,physical,lower,37,,,,
4,onehand,physical,lower,38,,,,
4,onehand,physical,lower,39,,,,
4,onehand,physical,lower,40,,,,
4,onehand,physical,lower,41,,,,
4,onehand,physical,lower,42,,,,
4,onehand,physical,lower,43,,,,
4,onehand,physical,lower,44,,,,
4,onehand,physical,lower,45,,,,
4,onehand,physical,lower,46,,,,
4,onehand,physical,lower,47,,,,
4,onehand,physical,lower,48,,,,
4,onehand,physical,lower,49,,,,
4,onehand,physical,lower,50,,,,
4,twohand,visual,upper,1,,,,
4,twohand,visual,upper,2,,,,
4,twohand,visual,upper,3,,,,
4,twohand,visual,upper,4,,,,
4,twohand,visual,upper,5,,,,
4,twohand,visual,upper,6,,,,
4,twohand,visual,upper,7,,,,
4,twohand,visual,upper,8,,,,
4,twohand,visual,upper,9,,,,
4,twohand,visual,upper,10,,,,
4,twohand,visual,upper,11,,,,
4,twohand,visual,upper,12,,,,
4,twohand,visual,upper,13,,,,
4,twohand,visual,upper,14,,,,
4,twohand,visual,upper,15,,,,
4,twohand,visual,upper,16,,,,
4,twohand,visual,upper,17,,,,
4,twohand,visual,upper,18,,,,
4,twohand,visual,upper,19,,,,
4,twohand,visual,upper,20,,,,
4,twohand,visual,upper,21,,,,
4,twohand,visual,upper,22,,,,
4,twohand,visual,upper,23,,,,
4,twohand,visual,upper,24,,,,
4,twohand,visual,upper,25,,,,
4,twohand,visual,upper,26,,,,
4,twohand,visual,upper,27,,,,
4,twohand,visual,upper,28,,,,
4,twohand,visual,upper,29,,,,
4,twohand,visual,upper,30,,,,
4,twohand,visual,upper,31,,,,
4,twohand,visual,upper,32,,,,
4,twohand,visual,upper,33,,,,
4,twohand,visual,upper,34,,,,
4,twohand,visual,upper,35,,,,
4,twohand,visual,upper,36,,,,
4,twohand,visual,upper,37,,,,
4,twohand,visual,upper,38,,,,
4,twohand,visual,upper,39,,,,
4,twohand,visual,upper,40,,,,
4,twohand,visual,upper,41,,,,
4,twohand,visual,upper,42,,,,
4,twohand,visual,upper,43,,,,
4,twohand,visual,upper,44,,,,
