pid,trial,staircase,volumeSize,visualSize,response,reversal,step
6,0,A,1,2.0,,,
6,1,B,1,0.0,,,
6,2,A,1,,,,
6,3,B,1,,,,
6,4,A,1,,,,
6,5,B,1,,,,
6,6,A,1,,,,
6,7,B,1,,,,
6,8,A,1,,,,
6,9,B,1,,,,
6,10,A,1,,,,
6,11,B,1,,,,
6,12,A,1,,,,
6,13,B,1,,,,
6,14,A,1,,,,
6,15,B,1,,,,
6,16,A,1,,,,
6,17,B,1,,,,
6,18,A,1,,,,
6,19,B,1,,,,
6,20,A,1,,,,
6,21,B,1,,,,
6,22,A,1,,,,
6,23,B,1,,,,
6,24,A,1,,,,
6,25,B,1,,,,
6,26,A,1,,,,
6,27,B,1,,,,
6,28,A,1,,,,
6,29,B,1,,,,
6,30,A,1,,,,
6,31,B,1,,,,
6,32,A,1,,,,
6,33,B,1,,,,
6,34,A,1,,,,
6,35,B,1,,,,
6,36,A,1,,,,
6,37,B,1,,,,
6,38,A,1,,,,
6,39,B,1,,,,
6,40,A,1,,,,
6,41,B,1,,,,
6,42,A,1,,,,
6,43,B,1,,,,
6,44,A,1,,,,
6,45,B,1,,,,
6,46,A,1,,,,
6,47,B,1,,,,
6,48,A,1,,,,
6,49,B,1,,,,
6,50,A,1,,,,
6,51,B,1,,,,
6,52,A,1,,,,
6,53,B,1,,,,
6,54,A,1,,,,
6,55,B,1,,,,
6,56,A,1,,,,
6,57,B,1,,,,
6,58,A,1,,,,
6,59,B,1,,,,
6,60,A,1,,,,
6,61,B,1,,,,
6,62,A,1,,,,
6,63,B,1,,,,
6,64,A,1,,,,
6,65,B,1,,,,
6,66,A,1,,,,
6,67,B,1,,,,
6,68,A,1,,,,
6,69,B,1,,,,
6,70,A,1,,,,
6,71,B,1,,,,
6,72,A,1,,,,
6,73,B,1,,,,
6,74,A,1,,,,
6,75,B,1,,,,
6,76,A,1,,,,
6,77,B,1,,,,
6,78,A,1,,,,
6,79,B,1,,,,
6,80,A,1,,,,
6,81,B,1,,,,
6,82,A,1,,,,
6,83,B,1,,,,
6,84,A,1,,,,
6,85,B,1,,,,
6,86,A,1,,,,
6,87,B,1,,,,
6,88,A,1,,,,
6,89,B,1,,,,
6,90,A,1,,,,
6,91,B,1,,,,
6,92,A,1,,,,
6,93,B,1,,,,
6,94,A,1,,,,
6,95,B,1,,,,
6,96,A,1,,,,
6,97,B,1,,,,
6,98,A,1,,,,
6,99,B,1,,,,
6,100,A,1,,,,
6,101,B,1,,,,
6,102,A,1,,,,
6,103,B,1,,,,
6,104,A,1,,,,
6,105,B,1,,,,
6,106,A,1,,,,
6,107,B,1,,,,
6,108,A,1,,,,
6,109,B,1,,,,
6,110,A,1,,,,
6,111,B,1,,,,
6,112,A,1,,,,
6,113,B,1,,,,
6,114,A,1,,,,
6,115,B,1,,,,
6,116,A,1,,,,
6,117,B,1,,,,
6,118,A,1,,,,
6,119,B,1,,,,
6,120,A,1,,,,
6,121,B,1,,,,
6,122,A,1,,,,
6,123,B,1,,,,
6,124,A,1,,,,
6,125,B,1,,,,
6,126,A,1,,,,
6,127,B,1,,,,
6,128,A,1,,,,
6,129,B,1,,,,
6,130,A,1,,,,
6,131,B,1,,,,
6,132,A,1,,,,
6,133,B,1,,,,
6,134,A,1,,,,
6,135,B,1,,,,
6,136,A,1,,,,
6,137,B,1,,,,
6,138,A,1,,,,
6,139,B,1,,,,
6,140,A,1,,,,
6,141,B,1,,,,
6,142,A,1,,,,
6,143,B,1,,,,
6,144,A,1,,,,
6,145,B,1,,,,
6,146,A,1,,,,
6,147,B,1,,,,
6,148,A,1,,,,
6,149,B,1,,,,
6,150,A,1,,,,
6,151,B,1,,,,
6,152,A,1,,,,
6,153,B,1,,,,
6,154,A,1,,,,
6,155,B,1,,,,
6,156,A,1,,,,
6,157,B,1,,,,
6,158,A,1,,,,
6,159,B,1,,,,
6,160,A,1,,,,
6,161,B,1,,,,
6,162,A,1,,,,
6,163,B,1,,,,
6,164,A,1,,,,
6,165,B,1,,,,
6,166,A,1,,,,
6,167,B,1,,,,
6,168,A,1,,,,
6,169,B,1,,,,
6,170,A,1,,,,
6,171,B,1,,,,
6,172,A,1,,,,
6,173,B,1,,,,
6,174,A,1,,,,
6,175,B,1,,,,
6,176,A,1,,,,
6,177,B,1,,,,
6,178,A,1,,,,
6,179,B,1,,,,
6,180,A,1,,,,
6,181,B,1,,,,
6,182,A,1,,,,
6,183,B,1,,,,
6,184,A,1,,,,
6,185,B,1,,,,
6,186,A,1,,,,
6,187,B,1,,,,
6,188,A,1,,,,
6,189,B,1,,,,
6,190,A,1,,,,
6,191,B,1,,,,
6,192,A,1,,,,
6,193,B,1,,,,
6,194,A,1,,,,
6,195,B,1,,,,
6,196,A,1,,,,
6,197,B,1,,,,
6,198,A,1,,,,
6,199,B,1,,,,
6,200,A,1,,,,
6,201,B,1,,,,
6,202,A,1,,,,
6,203,B,1,,,,
6,204,A,1,,,,
6,205,B,1,,,,
6,206,A,1,,,,
6,207,B,1,,,,
6,208,A,1,,,,
6,209,B,1,,,,
6,210,A,1,,,,
6,211,B,1,,,,
6,212,A,1,,,,
6,213,B,1,,,,
6,214,A,1,,,,
6,215,B,1,,,,
6,216,A,1,,,,
6,217,B,1,,,,
6,218,A,1,,,,
6,219,B,1,,,,
6,220,A,1,,,,
6,221,B,1,,,,
6,222,A,1,,,,
6,223,B,1,,,,
6,224,A,1,,,,
6,225,B,1,,,,
6,226,A,1,,,,
6,227,B,1,,,,
6,228,A,1,,,,
6,229,B,1,,,,
6,230,A,1,,,,
6,231,B,1,,,,
6,232,A,1,,,,
6,233,B,1,,,,
6,234,A,1,,,,
6,235,B,1,,,,
6,236,A,1,,,,
6,237,B,1,,,,
6,238,A,1,,,,
6,239,B,1,,,,
6,240,A,1,,,,
6,241,B,1,,,,
6,242,A,1,,,,
6,243,B,1,,,,
6,244,A,1,,,,
6,245,B,1,,,,
6,246,A,1,,,,
6,247,B,1,,,,
6,248,A,1,,,,
6,249,B,1,,,,
6,250,A,1,,,,
6,251,B,1,,,,
6,252,A,1,,,,
6,253,B,1,,,,
6,254,A,1,,,,
6,255,B,1,,,,
6,256,A,1,,,,
6,257,B,1,,,,
6,258,A,1,,,,
6,259,B,1,,,,
6,260,A,1,,,,
6,261,B,1,,,,
6,262,A,1,,,,
6,263,B,1,,,,
6,264,A,1,,,,
6,265,B,1,,,,
6,266,A,1,,,,
6,267,B,1,,,,
6,268,A,1,,,,
6,269,B,1,,,,
6,270,A,1,,,,
6,271,B,1,,,,
6,272,A,1,,,,
6,273,B,1,,,,
6,274,A,1,,,,
6,275,B,1,,,,
6,276,A,1,,,,
6,277,B,1,,,,
6,278,A,1,,,,
6,279,B,1,,,,
6,280,A,1,,,,
6,281,B,1,,,,
6,282,A,1,,,,
6,283,B,1,,,,
6,284,A,1,,,,
6,285,B,1,,,,
6,286,A,1,,,,
6,287,B,1,,,,
6,288,A,1,,,,
6,289,B,1,,,,
6,290,A,1,,,,
6,291,B,1,,,,
6,292,A,1,,,,
6,293,B,1,,,,
6,294,A,1,,,,
6,295,B,1,,,,
6,296,A,1,,,,
6,297,B,1,,,,
6,298,A,1,,,,
6,299,B,1,,,,
