pid,trial,physicalSize,visualSize,congruent
10,0,20,87.5,1
10,1,20,100.0,1
10,2,20,125.0,0
10,3,20,67.5,0
10,4,80,100.0,1
10,5,120,75.0,1
10,6,20,50.0,0
10,7,120,200.0,1
10,8,100,200.0,1
10,9,100,125.0,1
10,10,20,150.0,0
10,11,80,125.0,1
10,12,80,125.0,1
10,13,120,75.0,0
10,14,60,67.5,0
10,15,20,200.0,0
10,16,100,87.5,1
10,17,40,150.0,0
10,18,60,67.5,0
10,19,100,150.0,0
10,20,100,100.0,1
10,21,40,75.0,0
10,22,120,67.5,0
10,23,20,67.5,0
10,24,100,175.0,0
10,25,60,175.0,0
10,26,80,125.0,1
10,27,100,75.0,0
10,28,40,150.0,0
10,29,60,50.0,0
10,30,60,200.0,0
10,31,20,125.0,0
10,32,80,50.0,0
10,33,120,67.5,0
10,34,60,100.0,1
10,35,20,150.0,0
10,36,40,50.0,0
10,37,80,200.0,0
10,38,100,50.0,0
10,39,60,150.0,0
10,40,60,125.0,1
10,41,20,200.0,0
10,42,40,150.0,0
10,43,120,87.5,1
10,44,80,100.0,1
10,45,80,175.0,0
10,46,60,75.0,0
10,47,80,67.5,0
10,48,20,100.0,1
10,49,20,75.0,1
10,50,60,125.0,1
10,51,60,87.5,0
10,52,20,50.0,0
10,53,120,200.0,1
10,54,20,87.5,1
10,55,20,175.0,0
10,56,60,175.0,0
10,57,80,150.0,1
10,58,20,50.0,0
10,59,60,50.0,0
10,60,80,75.0,0
10,61,80,200.0,0
10,62,80,67.5,0
10,63,40,175.0,0
10,64,60,200.0,0
10,65,40,150.0,0
10,66,80,87.5,0
10,67,80,150.0,1
10,68,20,175.0,0
10,69,100,150.0,1
10,70,100,67.5,0
10,71,60,150.0,1
10,72,100,75.0,0
10,73,120,125.0,1
10,74,120,150.0,0
10,75,60,200.0,0
10,76,100,125.0,1
10,77,80,87.5,1
10,78,60,67.5,0
10,79,80,200.0,0
10,80,40,125.0,0
10,81,120,175.0,1
10,82,60,100.0,1
10,83,120,125.0,1
10,84,80,150.0,0
10,85,100,100.0,1
10,86,100,125.0,1
10,87,40,125.0,0
10,88,120,150.0,0
10,89,100,87.5,1
10,90,100,67.5,0
10,91,120,100.0,0
10,92,60,150.0,0
10,93,80,125.0,0
10,94,40,100.0,1
10,95,20,75.0,1
10,96,100,50.0,0
10,97,60,50.0,0
10,98,20,75.0,1
10,99,40,100.0,0
10,100,120,100.0,1
10,101,80,50.0,0
10,102,100,67.5,0
10,103,20,75.0,1
10,104,80,50.0,1
10,105,40,150.0,0
10,106,40,200.0,0
10,107,120,75.0,0
10,108,120,67.5,0
10,109,80,87.5,1
10,110,60,100.0,0
10,111,120,87.5,1
