pid,trial,physicalVelocity,visualMultiplier,congruent
15,0,1.0,0.5,
15,1,1.5,0.5,
15,2,-0.5,1.0,
15,3,1.5,1.0,
15,4,0.0,0.75,
15,5,-1.0,1.0,
15,6,-1.0,1.25,
15,7,1.5,1.0,
15,8,0.0,1.25,
15,9,0.0,0.75,
15,10,0.0,1.0,
15,11,1.0,0.75,
15,12,-1.5,1.5,
15,13,-0.5,1.0,
15,14,-1.0,1.5,
15,15,1.5,0.75,
15,16,-0.5,0.5,
15,17,-0.5,1.25,
15,18,-1.0,1.25,
15,19,1.0,1.5,
15,20,-1.0,1.25,
15,21,1.5,1.5,
15,22,-0.5,1.5,
15,23,0.0,0.75,
15,24,-0.5,0.5,
15,25,1.0,0.75,
15,26,-1.5,1.0,
15,27,-0.5,0.75,
15,28,0.0,1.25,
15,29,1.0,1.25,
15,30,0.5,0.5,
15,31,-1.0,1.25,
15,32,0.5,0.75,
15,33,1.5,1.25,
15,34,-1.0,1.25,
15,35,-0.5,0.75,
15,36,1.0,1.0,
15,37,-0.5,0.5,
15,38,-0.5,0.75,
15,39,-1.5,1.25,
15,40,1.5,1.0,
15,41,-1.0,0.75,
15,42,1.0,1.25,
15,43,-1.0,0.75,
15,44,-0.5,1.5,
15,45,1.0,0.75,
15,46,-1.5,0.75,
15,47,1.5,1.25,
15,48,0.0,0.5,
15,49,-1.0,0.5,
15,50,0.0,1.5,
15,51,-1.5,1.25,
15,52,0.0,0.75,
15,53,1.0,0.5,
15,54,0.0,1.25,
15,55,-1.0,1.5,
15,56,1.0,1.25,
15,57,0.5,0.5,
15,58,-0.5,1.25,
15,59,1.0,1.25,
15,60,1.5,0.5,
15,61,1.0,1.5,
15,62,-1.0,1.0,
15,63,0.5,1.5,
15,64,-0.5,0.5,
15,65,0.0,1.0,
15,66,1.5,0.75,
15,67,0.5,1.0,
15,68,0.5,1.25,
15,69,0.0,0.5,
15,70,-1.0,0.5,
15,71,0.5,1.25,
15,72,0.0,0.5,
15,73,0.0,1.25,
15,74,0.0,1.0,
15,75,-1.5,1.0,
15,76,1.0,0.5,
15,77,-1.5,0.5,
15,78,0.0,1.0,
15,79,-1.5,1.0,
15,80,1.0,1.5,
15,81,-0.5,0.5,
15,82,-1.5,1.5,
15,83,0.0,1.5,
15,84,1.0,1.0,
15,85,0.5,1.5,
15,86,0.0,1.0,
15,87,-1.5,0.5,
15,88,-1.5,1.5,
15,89,1.5,0.75,
15,90,-1.5,1.5,
15,91,0.5,1.25,
15,92,-0.5,1.0,
15,93,-1.0,0.5,
15,94,-1.5,1.5,
15,95,-1.0,1.0,
15,96,-0.5,1.25,
15,97,1.5,1.25,
15,98,-1.0,1.5,
15,99,1.0,1.0,
15,100,0.0,0.5,
15,101,-0.5,0.75,
15,102,-1.5,1.25,
15,103,0.5,0.75,
15,104,1.5,0.5,
15,105,1.0,1.5,
15,106,0.5,0.5,
15,107,1.0,1.0,
15,108,-1.5,0.5,
15,109,0.5,1.5,
15,110,-1.0,1.5,
15,111,-0.5,1.0,
15,112,-0.5,1.5,
15,113,-0.5,0.75,
15,114,1.5,1.25,
15,115,0.5,0.5,
15,116,0.5,1.0,
15,117,1.5,0.75,
15,118,0.5,0.5,
15,119,1.5,0.5,
15,120,-1.5,0.5,
15,121,1.5,1.0,
15,122,-1.5,0.5,
15,123,1.0,1.0,
15,124,0.5,1.0,
15,125,-1.5,0.75,
15,126,1.5,0.5,
15,127,-0.5,1.5,
15,128,1.5,1.25,
15,129,1.0,1.25,
15,130,-1.0,0.5,
15,131,1.5,1.5,
15,132,1.0,0.5,
15,133,0.0,1.5,
15,134,-1.0,1.0,
15,135,-1.5,0.75,
15,136,-1.5,1.25,
15,137,0.5,1.0,
15,138,0.5,0.75,
15,139,-0.5,1.25,
15,140,-1.0,0.75,
15,141,0.5,1.5,
15,142,-1.5,1.0,
15,143,1.5,0.75,
15,144,-1.0,0.75,
15,145,0.5,1.25,
15,146,0.0,1.5,
15,147,-1.5,1.25,
15,148,-0.5,1.5,
15,149,-1.5,0.75,
15,150,1.0,0.75,
15,151,1.5,1.5,
15,152,0.0,0.5,
15,153,-1.5,1.0,
15,154,0.0,0.75,
15,155,0.0,1.5,
15,156,-1.0,0.75,
15,157,0.5,0.75,
15,158,1.0,1.5,
15,159,1.5,1.5,
15,160,-1.5,0.75,
15,161,1.5,1.5,
15,162,1.0,0.75,
15,163,-1.0,0.5,
15,164,-1.0,1.5,
15,165,0.5,1.25,
15,166,1.5,1.0,
15,167,-0.5,1.0,
15,168,-0.5,1.25,
15,169,0.5,0.75,
15,170,1.0,0.5,
15,171,0.5,1.5,
15,172,-1.0,1.0,
15,173,0.5,1.0,
15,174,0.0,1.25,
