pid,trial,physicalSpeed,visualSpeed,congruent
8,0,0.5,-1.0,
8,1,-1.0,0.5,
8,2,0.5,1.0,
8,3,0.0,-1.5,
8,4,-1.0,1.0,
8,5,-1.0,0.5,
8,6,1.0,-0.5,
8,7,0.0,0.0,
8,8,0.5,1.0,
8,9,1.0,0.0,
8,10,0.5,-1.0,
8,11,0.5,-1.0,
8,12,1.0,0.5,
8,13,-0.5,-0.5,
8,14,1.0,0.0,
8,15,-0.5,-1.0,
8,16,0.5,1.5,
8,17,0.5,0.5,
8,18,1.0,1.0,
8,19,0.0,0.5,
8,20,-0.5,1.0,
8,21,0.0,1.0,
8,22,0.0,-1.0,
8,23,0.0,-1.0,
8,24,-0.5,-1.5,
8,25,-0.5,0.5,
8,26,-0.5,0.0,
8,27,0.0,1.0,
8,28,-0.5,0.0,
8,29,0.5,0.0,
8,30,0.5,-1.5,
8,31,0.5,-1.5,
8,32,-0.5,-0.5,
8,33,-0.5,-1.5,
8,34,0.5,-1.5,
8,35,-1.0,-0.5,
8,36,1.0,0.0,
8,37,-0.5,-0.5,
8,38,0.5,-0.5,
8,39,0.0,1.0,
8,40,1.0,-0.5,
8,41,-0.5,-0.5,
8,42,0.0,0.5,
8,43,-1.0,-1.0,
8,44,-0.5,0.5,
8,45,1.0,-0.5,
8,46,-1.0,1.0,
8,47,-0.5,-1.0,
8,48,1.0,0.0,
8,49,-0.5,-1.0,
8,50,0.5,1.0,
8,51,0.5,1.0,
8,52,-1.0,0.0,
8,53,-0.5,-1.0,
8,54,-0.5,0.5,
8,55,0.0,-0.5,
8,56,-1.0,1.0,
8,57,1.0,1.5,
8,58,-1.0,-1.5,
8,59,0.5,-1.0,
8,60,-1.0,1.5,
8,61,0.5,0.0,
8,62,0.5,1.5,
8,63,-0.5,1.5,
8,64,1.0,1.0,
8,65,-1.0,-0.5,
8,66,-1.0,0.0,
8,67,-0.5,1.0,
8,68,-1.0,1.5,
8,69,0.0,-0.5,
8,70,0.0,-1.0,
8,71,0.0,1.0,
8,72,0.5,0.5,
8,73,0.0,-0.5,
8,74,-0.5,1.0,
8,75,1.0,0.5,
8,76,1.0,-1.0,
8,77,-1.0,0.5,
8,78,0.5,0.5,
8,79,1.0,1.5,
8,80,1.0,1.0,
8,81,-1.0,-1.5,
8,82,-1.0,-0.5,
8,83,0.5,0.0,
8,84,0.5,-1.5,
8,85,-0.5,0.5,
8,86,-1.0,1.5,
8,87,0.0,1.5,
8,88,1.0,1.5,
8,89,0.5,1.0,
8,90,0.5,-0.5,
8,91,-1.0,-1.0,
8,92,-0.5,-1.5,
8,93,-0.5,0.0,
8,94,0.0,0.5,
8,95,1.0,-1.0,
8,96,-1.0,-1.5,
8,97,-0.5,-1.5,
8,98,1.0,-1.0,
8,99,0.0,1.5,
8,100,0.5,-0.5,
8,101,0.0,0.0,
8,102,1.0,1.5,
8,103,1.0,-1.5,
8,104,-0.5,-1.5,
8,105,1.0,-1.5,
8,106,1.0,-1.5,
8,107,0.5,0.0,
8,108,0.5,-0.5,
8,109,-1.0,-1.5,
8,110,0.5,-1.0,
8,111,1.0,0.0,
8,112,0.5,-0.5,
8,113,0.5,1.5,
8,114,0.5,1.5,
8,115,0.0,1.5,
8,116,1.0,-1.0,
8,117,-1.0,1.5,
8,118,-1.0,0.5,
8,119,0.0,0.0,
8,120,-1.0,0.5,
8,121,0.0,-1.0,
8,122,1.0,1.0,
8,123,1.0,0.5,
8,124,1.0,0.5,
8,125,0.0,0.5,
8,126,-1.0,0.0,
8,127,1.0,1.5,
8,128,0.0,-1.0,
8,129,1.0,-1.0,
8,130,0.5,1.5,
8,131,0.0,-1.5,
8,132,0.0,-1.5,
8,133,0.0,0.5,
8,134,-1.0,-0.5,
8,135,1.0,-1.5,
8,136,-0.5,1.0,
8,137,1.0,0.5,
8,138,1.0,1.0,
8,139,-0.5,1.5,
8,140,-1.0,0.0,
8,141,-0.5,1.5,
8,142,-1.0,-1.0,
8,143,-0.5,1.5,
8,144,-1.0,-1.0,
8,145,0.5,0.5,
8,146,0.0,1.0,
8,147,-1.0,-1.5,
8,148,-1.0,-0.5,
8,149,0.0,-0.5,
8,150,0.0,-1.5,
8,151,-0.5,1.0,
8,152,-0.5,-1.0,
8,153,1.0,-1.5,
8,154,0.0,0.0,
8,155,-1.0,1.0,
8,156,-1.0,1.0,
8,157,0.0,-1.5,
8,158,-0.5,0.5,
8,159,0.0,1.5,
8,160,-1.0,1.5,
8,161,0.5,-1.5,
8,162,-1.0,-1.0,
8,163,0.0,0.0,
8,164,-1.0,0.0,
8,165,0.0,1.5,
8,166,0.5,0.0,
8,167,-0.5,0.0,
8,168,-0.5,1.5,
8,169,0.5,0.5,
8,170,-0.5,0.0,
8,171,-0.5,-0.5,
8,172,1.0,-0.5,
8,173,1.0,-0.5,
8,174,0.0,-0.5,
