pid,trial,physical_speed,visual_end_size,scenario,congruency
12,0,20,80,one-hand,1
12,1,0,160,one-hand,0
12,2,40,160,one-hand,1
12,3,10,160,one-hand,1
12,4,40,180,one-hand,0
12,5,0,80,one-hand,1
12,6,40,120,one-hand,1
12,7,10,80,one-hand,1
12,8,10,120,one-hand,1
12,9,10,140,one-hand,
12,10,20,180,one-hand,
12,11,10,120,one-hand,
12,12,10,140,one-hand,
12,13,20,100,one-hand,
12,14,0,120,one-hand,
12,15,20,180,one-hand,
12,16,40,120,one-hand,
12,17,10,140,one-hand,
12,18,0,180,one-hand,
12,19,40,140,one-hand,
12,20,0,160,one-hand,
12,21,10,180,one-hand,
12,22,40,80,one-hand,
12,23,20,140,one-hand,
12,24,0,80,one-hand,
12,25,20,140,one-hand,
12,26,20,140,one-hand,
12,27,20,180,one-hand,
12,28,40,160,one-hand,
12,29,10,180,one-hand,
12,30,40,100,one-hand,
12,31,20,140,one-hand,
12,32,0,160,one-hand,
12,33,20,160,one-hand,
12,34,0,180,one-hand,
12,35,20,100,one-hand,
12,36,10,160,one-hand,
12,37,10,100,one-hand,
12,38,20,180,one-hand,
12,39,0,100,one-hand,
12,40,40,140,one-hand,
12,41,20,80,one-hand,
12,42,0,180,one-hand,
12,43,40,160,one-hand,
12,44,40,100,one-hand,
12,45,20,80,one-hand,
12,46,10,160,one-hand,
12,47,40,100,one-hand,
12,48,40,80,one-hand,
12,49,40,120,one-hand,
12,50,10,140,one-hand,
12,51,0,140,one-hand,
12,52,0,160,one-hand,
12,53,0,140,one-hand,
12,54,40,180,one-hand,
12,55,0,120,one-hand,
12,56,20,160,one-hand,
12,57,0,100,one-hand,
12,58,10,120,one-hand,
12,59,10,120,one-hand,
12,60,0,140,one-hand,
12,61,0,80,one-hand,
12,62,40,140,one-hand,
12,63,10,160,one-hand,
12,64,40,80,one-hand,
12,65,20,120,one-hand,
12,66,10,100,one-hand,
12,67,0,100,one-hand,
12,68,20,160,one-hand,
12,69,10,80,one-hand,
12,70,0,120,one-hand,
12,71,10,180,one-hand,
12,72,10,100,one-hand,
12,73,0,80,one-hand,
12,74,20,100,one-hand,
12,75,20,80,one-hand,
12,76,40,100,one-hand,
12,77,0,140,one-hand,
12,78,20,120,one-hand,
12,79,40,140,one-hand,
12,80,0,120,one-hand,
12,81,20,120,one-hand,
12,82,10,80,one-hand,
12,83,0,180,one-hand,
12,84,40,180,one-hand,
12,85,40,80,one-hand,
12,86,0,100,one-hand,
12,87,20,100,one-hand,
12,88,40,160,one-hand,
12,89,40,120,one-hand,
12,90,20,160,one-hand,
12,91,40,180,one-hand,
12,92,10,80,one-hand,
12,93,10,100,one-hand,
12,94,20,120,one-hand,
12,95,10,180,one-hand,
12,96,10,80,two-hand,
12,97,40,80,two-hand,
12,98,10,180,two-hand,
12,99,10,180,two-hand,
12,100,0,100,two-hand,
12,101,20,140,two-hand,
12,102,40,160,two-hand,
12,103,40,160,two-hand,
12,104,20,120,two-hand,
12,105,40,180,two-hand,
12,106,20,80,two-hand,
12,107,0,140,two-hand,
12,108,20,80,two-hand,
12,109,10,100,two-hand,
12,110,0,120,two-hand,
12,111,20,100,two-hand,
12,112,10,100,two-hand,
12,113,20,100,two-hand,
12,114,10,140,two-hand,
12,115,40,180,two-hand,
12,116,10,100,two-hand,
12,117,0,180,two-hand,
12,118,10,120,two-hand,
12,119,10,140,two-hand,
12,120,0,120,two-hand,
12,121,20,180,two-hand,
12,122,40,80,two-hand,
12,123,0,180,two-hand,
12,124,0,80,two-hand,
12,125,40,100,two-hand,
12,126,40,120,two-hand,
12,127,20,160,two-hand,
12,128,20,140,two-hand,
12,129,20,160,two-hand,
12,130,0,120,two-hand,
12,131,10,160,two-hand,
12,132,20,100,two-hand,
12,133,20,120,two-hand,
12,134,20,180,two-hand,
12,135,40,100,two-hand,
12,136,0,100,two-hand,
12,137,40,180,two-hand,
12,138,40,160,two-hand,
12,139,40,100,two-hand,
12,140,40,120,two-hand,
12,141,10,180,two-hand,
12,142,20,140,two-hand,
12,143,0,140,two-hand,
12,144,10,180,two-hand,
12,145,0,140,two-hand,
12,146,10,160,two-hand,
12,147,10,160,two-hand,
12,148,20,120,two-hand,
12,149,0,180,two-hand,
12,150,40,140,two-hand,
12,151,40,140,two-hand,
12,152,40,120,two-hand,
12,153,40,120,two-hand,
12,154,40,160,two-hand,
12,155,10,80,two-hand,
12,156,10,160,two-hand,
12,157,20,120,two-hand,
12,158,10,80,two-hand,
12,159,10,140,two-hand,
12,160,0,80,two-hand,
12,161,40,140,two-hand,
12,162,0,160,two-hand,
12,163,0,160,two-hand,
12,164,10,100,two-hand,
12,165,20,160,two-hand,
12,166,0,160,two-hand,
12,167,40,80,two-hand,
12,168,40,100,two-hand,
12,169,0,100,two-hand,
12,170,10,80,two-hand,
12,171,20,80,two-hand,
12,172,0,140,two-hand,
12,173,0,80,two-hand,
12,174,10,120,two-hand,
12,175,10,140,two-hand,
12,176,20,180,two-hand,
12,177,20,160,two-hand,
12,178,20,180,two-hand,
12,179,20,80,two-hand,
12,180,0,180,two-hand,
12,181,0,100,two-hand,
12,182,40,140,two-hand,
12,183,40,180,two-hand,
12,184,20,140,two-hand,
12,185,0,160,two-hand,
12,186,20,100,two-hand,
12,187,0,120,two-hand,
12,188,10,120,two-hand,
12,189,10,120,two-hand,
12,190,0,80,two-hand,
12,191,40,80,two-hand,
