pid,trial,visualSize,scenario,delayTime,direction,congruency
11,0,160,two-hand,0.5,expand,0
11,1,180,two-hand,0.5,expand,0
11,2,160,two-hand,0.5,expand,1
11,3,100,two-hand,0.5,expand,1
11,4,100,two-hand,0.5,expand,1
11,5,180,two-hand,0.5,expand,1
11,6,140,two-hand,0.5,expand,1
11,7,120,two-hand,0.5,expand,1
11,8,140,two-hand,0.5,expand,1
11,9,100,two-hand,0.5,expand,1
11,10,80,two-hand,0.5,expand,0
11,11,160,two-hand,0.5,expand,0
11,12,180,two-hand,0.5,expand,0
11,13,120,two-hand,0.5,expand,
11,14,80,two-hand,0.5,expand,
11,15,140,two-hand,0.5,expand,
11,16,160,two-hand,0.5,expand,
11,17,80,two-hand,0.5,expand,
11,18,180,two-hand,0.5,expand,
11,19,120,two-hand,0.5,expand,
11,20,160,two-hand,0.5,expand,
11,21,100,two-hand,0.5,expand,
11,22,120,two-hand,0.5,expand,
11,23,80,two-hand,0.5,expand,
11,24,120,two-hand,0.5,expand,
11,25,80,two-hand,0.5,expand,
11,26,140,two-hand,0.5,expand,
11,27,140,two-hand,0.5,expand,
11,28,100,two-hand,0.5,expand,
11,29,180,two-hand,0.5,expand,
11,30,120,one-hand,0.5,expand,
11,31,120,one-hand,0.5,expand,
11,32,160,one-hand,0.5,expand,
11,33,100,one-hand,0.5,expand,
11,34,120,one-hand,0.5,expand,
11,35,160,one-hand,0.5,expand,
11,36,160,one-hand,0.5,expand,
11,37,100,one-hand,0.5,expand,
11,38,160,one-hand,0.5,expand,
11,39,180,one-hand,0.5,expand,
11,40,80,one-hand,0.5,expand,
11,41,80,one-hand,0.5,expand,
11,42,180,one-hand,0.5,expand,
11,43,140,one-hand,0.5,expand,
11,44,80,one-hand,0.5,expand,
11,45,80,one-hand,0.5,expand,
11,46,120,one-hand,0.5,expand,
11,47,140,one-hand,0.5,expand,
11,48,120,one-hand,0.5,expand,
11,49,100,one-hand,0.5,expand,
11,50,100,one-hand,0.5,expand,
11,51,140,one-hand,0.5,expand,
11,52,180,one-hand,0.5,expand,
11,53,80,one-hand,0.5,expand,
11,54,160,one-hand,0.5,expand,
11,55,140,one-hand,0.5,expand,
11,56,180,one-hand,0.5,expand,
11,57,140,one-hand,0.5,expand,
11,58,100,one-hand,0.5,expand,
11,59,180,one-hand,0.5,expand,
