pid,trial,visualSize,scenario,direction,congruency,time,distance
3,0,150,two-hand,expand,0,3.779204,0.3199358
3,1,80,two-hand,expand,0,2.988822,0.2274005
3,2,130,two-hand,expand,1,3.445616,0.2918993
3,3,140,two-hand,expand,0,3.570583,0.3039261
3,4,90,two-hand,expand,1,2.746727,0.2320649
3,5,170,two-hand,expand,1,2.501895,0.3275026
3,6,170,two-hand,expand,1,2.376476,0.3374552
3,7,180,two-hand,expand,0,2.030032,0.3357036
3,8,150,two-hand,expand,1,1.849614,0.3115524
3,9,140,two-hand,expand,1,2.779302,0.3035845
3,10,90,two-hand,expand,0,1.891636,0.2346627
3,11,100,two-hand,expand,0,2.180065,0.2488389
3,12,80,two-hand,expand,0,1.695165,0.2187102
3,13,90,two-hand,expand,0,1.597456,0.2377499
3,14,160,two-hand,expand,1,2.124712,0.3334564
3,15,140,two-hand,expand,1,1.527065,0.2948722
3,16,170,two-hand,expand,1,2.207538,0.3341781
3,17,110,two-hand,expand,1,2.083244,0.2569088
3,18,120,two-hand,expand,1,1.846463,0.2660028
3,19,100,two-hand,expand,0,2.152734,0.2405777
3,20,110,two-hand,expand,0,2.082661,0.2431472
3,21,120,two-hand,expand,1,2.096606,0.27322
3,22,80,two-hand,expand,0,1.569214,0.2115852
3,23,140,two-hand,expand,1,2.041105,0.3071515
3,24,120,two-hand,expand,1,2.054783,0.2717316
3,25,160,two-hand,expand,1,1.874524,0.323607
3,26,170,two-hand,expand,0,1.527231,0.3214067
3,27,180,two-hand,expand,0,2.110175,0.3687616
3,28,160,two-hand,expand,1,2.51295,0.3227127
3,29,130,two-hand,expand,1,2.180697,0.2782128
3,30,90,two-hand,expand,0,3.429864,0.2181123
3,31,80,two-hand,expand,0,1.402407,0.2187715
3,32,90,two-hand,expand,0,2.179862,0.2232772
3,33,130,two-hand,expand,1,1.596758,0.2672863
3,34,150,two-hand,expand,1,2.707662,0.3040002
3,35,150,two-hand,expand,0,2.582749,0.2948855
3,36,110,two-hand,expand,1,2.027363,0.2473833
3,37,140,two-hand,expand,1,2.149278,0.282116
3,38,180,two-hand,expand,0,2.08239,0.3422989
3,39,130,two-hand,expand,1,1.624904,0.279409
3,40,120,two-hand,expand,1,1.874421,0.2618062
3,41,150,two-hand,expand,1,2.23574,0.3063655
3,42,180,two-hand,expand,0,1.651919,0.3475094
3,43,120,two-hand,expand,1,2.804838,0.2695085
3,44,100,two-hand,expand,0,1.750284,0.2373336
3,45,160,two-hand,expand,1,1.846666,0.3291777
3,46,110,two-hand,expand,1,2.555489,0.2571603
3,47,130,two-hand,expand,1,1.610251,0.2766185
3,48,180,two-hand,expand,0,1.90181,0.3499975
3,49,100,two-hand,expand,1,1.972097,0.2283696
3,50,80,two-hand,expand,0,1.388364,0.2128555
3,51,100,two-hand,expand,1,1.735515,0.225623
3,52,110,two-hand,expand,1,1.666329,0.2286566
3,53,170,two-hand,expand,1,2.957447,0.3253157
3,54,160,two-hand,expand,1,1.804518,0.3063897
3,55,90,one-hand,expand,1,155.0683,
3,56,150,one-hand,expand,1,2.430494,
3,57,150,one-hand,expand,0,1.221335,
3,58,80,one-hand,expand,1,1.277699,
3,59,120,one-hand,expand,0,1.402775,
3,60,160,one-hand,expand,0,1.443835,
3,61,160,one-hand,expand,0,1.44423,
3,62,110,one-hand,expand,1,1.374216,
3,63,150,one-hand,expand,0,1.347213,
3,64,130,one-hand,expand,0,1.888566,
3,65,170,one-hand,expand,0,1.624431,
3,66,150,one-hand,expand,0,1.443916,
3,67,110,one-hand,expand,1,1.319753,
3,68,130,one-hand,expand,1,1.653124,
3,69,180,one-hand,expand,0,1.235985,
3,70,100,one-hand,expand,1,1.361106,
3,71,170,one-hand,expand,0,1.347249,
3,72,140,one-hand,expand,0,1.63876,
3,73,140,one-hand,expand,0,1.499248,
3,74,170,one-hand,expand,0,1.513772,
3,75,120,one-hand,expand,0,1.805866,
3,76,120,one-hand,expand,1,2.277451,
3,77,110,one-hand,expand,1,1.430651,
3,78,170,one-hand,expand,0,1.361073,
3,79,90,one-hand,expand,1,1.444088,
3,80,100,one-hand,expand,1,1.333406,
3,81,140,one-hand,expand,0,1.693814,
3,82,100,one-hand,expand,1,1.339878,
3,83,180,one-hand,expand,0,1.623312,
3,84,130,one-hand,expand,0,1.861049,
3,85,180,one-hand,expand,0,1.513125,
3,86,160,one-hand,expand,0,1.541651,
3,87,140,one-hand,expand,0,1.735875,
3,88,150,one-hand,expand,0,1.736562,
3,89,110,one-hand,expand,1,1.402469,
3,90,120,one-hand,expand,1,1.667063,
3,91,80,one-hand,expand,0,1.640247,
3,92,130,one-hand,expand,1,1.486027,
3,93,140,one-hand,expand,1,1.916858,
3,94,160,one-hand,expand,0,1.361016,
3,95,110,one-hand,expand,1,1.375364,
3,96,180,one-hand,expand,0,1.457872,
3,97,90,one-hand,expand,1,2.097262,
3,98,180,one-hand,expand,0,1.55577,
3,99,160,one-hand,expand,0,1.819501,
3,100,80,one-hand,expand,1,1.639011,
3,101,80,one-hand,expand,1,1.541341,
3,102,120,one-hand,expand,1,1.555498,
3,103,80,one-hand,expand,1,2.263294,
3,104,90,one-hand,expand,1,1.763605,
3,105,100,one-hand,expand,1,2.09654,
3,106,90,one-hand,expand,1,1.74989,
3,107,100,one-hand,expand,1,1.777514,
3,108,130,one-hand,expand,0,1.528841,
3,109,170,one-hand,expand,0,2.401415,
