pid,trial,visualSize,scenario,delayTime,direction,congruency,time,distance
4,0,200,one-hand,0.5,expand,0,7.944356,
4,1,100,one-hand,0.5,expand,1,4.544761,
4,2,160,one-hand,0.5,expand,0,27.61165,
4,3,180,one-hand,0.5,expand,0,4.515398,
4,4,100,one-hand,0.5,expand,1,3.641556,
4,5,120,one-hand,0.5,expand,0,4.041704,
4,6,80,one-hand,0.5,expand,1,2.932482,
4,7,240,one-hand,0.5,expand,0,1.875794,
4,8,200,one-hand,0.5,expand,0,2.725022,
4,9,180,one-hand,0.5,expand,0,2.683335,
4,10,100,one-hand,0.5,expand,1,3.030284,
4,11,200,one-hand,0.5,expand,0,2.960269,
4,12,100,one-hand,0.5,expand,1,3.572471,
4,13,80,one-hand,0.5,expand,1,5.321154,
4,14,240,one-hand,0.5,expand,0,4.76621,
4,15,180,one-hand,0.5,expand,0,2.584678,
4,16,160,one-hand,0.5,expand,0,4.529656,
4,17,220,one-hand,0.5,expand,0,3.570385,
4,18,140,one-hand,0.5,expand,0,6.599564,
4,19,220,one-hand,0.5,expand,0,1.598258,
4,20,140,one-hand,0.5,expand,0,4.043611,
4,21,160,one-hand,0.5,expand,0,4.0576,
4,22,140,one-hand,0.5,expand,0,4.432511,
4,23,160,one-hand,0.5,expand,0,2.793177,
4,24,80,one-hand,0.5,expand,1,1.904934,
4,25,220,one-hand,0.5,expand,0,2.001299,
4,26,200,one-hand,0.5,expand,0,2.027761,
4,27,180,one-hand,0.5,expand,0,2.460394,
4,28,200,one-hand,0.5,expand,0,2.389698,
4,29,80,one-hand,0.5,expand,1,2.266568,
4,30,140,one-hand,0.5,expand,0,2.113101,
4,31,120,one-hand,0.5,expand,0,3.458194,
4,32,120,one-hand,0.5,expand,0,1.999999,
4,33,100,one-hand,0.5,expand,1,4.390767,
4,34,240,one-hand,0.5,expand,0,1.488187,
4,35,220,one-hand,0.5,expand,0,1.418915,
4,36,80,one-hand,0.5,expand,1,2.183243,
4,37,120,one-hand,0.5,expand,1,5.319803,
4,38,120,one-hand,0.5,expand,1,4.891145,
4,39,220,one-hand,0.5,expand,0,2.181781,
4,40,160,one-hand,0.5,expand,0,2.572088,
4,41,180,one-hand,0.5,expand,0,2.670086,
4,42,240,one-hand,0.5,expand,0,2.12633,
4,43,140,one-hand,0.5,expand,0,5.502179,
4,44,240,one-hand,0.5,expand,0,1.793118,
4,45,140,two-hand,0.5,expand,1,3.696107,0.3166312
4,46,240,two-hand,0.5,expand,1,8.777546,0.4216321
4,47,180,two-hand,0.5,expand,1,3.974562,0.3746761
4,48,100,two-hand,0.5,expand,0,7.932906,0.2481362
4,49,160,two-hand,0.5,expand,1,4.335033,0.3257867
4,50,80,two-hand,0.5,expand,0,3.168889,0.208717
4,51,80,two-hand,0.5,expand,0,3.377043,0.2025976
4,52,120,two-hand,0.5,expand,1,3.944838,0.2685148
4,53,100,two-hand,0.5,expand,1,4.419179,0.2440165
4,54,120,two-hand,0.5,expand,1,3.724874,0.2812119
4,55,140,two-hand,0.5,expand,1,2.416846,0.3044132
4,56,220,two-hand,0.5,expand,1,6.348323,0.3985008
4,57,180,two-hand,0.5,expand,1,3.40411,0.3527737
4,58,180,two-hand,0.5,expand,1,5.710245,0.3740732
4,59,160,two-hand,0.5,expand,1,4.668683,0.3253512
4,60,200,two-hand,0.5,expand,1,3.418705,0.3982839
4,61,220,two-hand,0.5,expand,1,8.208492,0.3986964
4,62,100,two-hand,0.5,expand,1,6.072058,0.2432775
4,63,200,two-hand,0.5,expand,1,4.707389,0.399194
4,64,100,two-hand,0.5,expand,0,3.849094,0.2600852
4,65,180,two-hand,0.5,expand,1,4.334855,0.3251902
4,66,240,two-hand,0.5,expand,0,5.043142,0.427647
4,67,120,two-hand,0.5,expand,1,2.044636,0.2852778
4,68,240,two-hand,0.5,expand,0,3.708673,0.439399
4,69,80,two-hand,0.5,expand,0,3.279939,0.2197895
4,70,200,two-hand,0.5,expand,1,3.764713,0.3912408
4,71,80,two-hand,0.5,expand,0,3.669861,0.2226984
4,72,140,two-hand,0.5,expand,1,2.404133,0.2974857
4,73,140,two-hand,0.5,expand,1,2.543802,0.3063536
4,74,120,two-hand,0.5,expand,1,3.084807,0.268079
4,75,220,two-hand,0.5,expand,0,3.600421,0.3619832
4,76,80,two-hand,0.5,expand,0,1.641699,0.2337997
4,77,100,two-hand,0.5,expand,1,6.48724,0.2297004
4,78,200,two-hand,0.5,expand,0,4.112848,0.3681482
4,79,220,two-hand,0.5,expand,0,2.002479,0.3881552
4,80,240,two-hand,0.5,expand,0,1.943779,0.4237823
4,81,140,two-hand,0.5,expand,1,2.25291,0.3192705
4,82,160,two-hand,0.5,expand,1,2.043238,0.3602918
4,83,160,two-hand,0.5,expand,1,2.932871,0.3326562
4,84,220,two-hand,0.5,expand,0,2.793126,0.4122948
4,85,160,two-hand,0.5,expand,0,6.821309,0.3508143
4,86,200,two-hand,0.5,expand,0,4.750975,0.344573
4,87,240,two-hand,0.5,expand,0,2.998134,0.3243031
4,88,120,two-hand,0.5,expand,0,3.988522,0.2682754
4,89,180,two-hand,0.5,expand,1,4.292397,0.3183681
