pid,trial,physical,visual,congruency
1,0,convex,small,0
1,1,large,convex,1
1,2,medium,small,3
1,3,convex,concave,0
1,4,large,small,1
1,5,medium,small,2
1,6,medium,slope,1
1,7,convex,medium,1
1,8,small,medium,3
1,9,slope,slope,1
1,10,large,large,3
1,11,medium,large,3
1,12,concave,slope,0
1,13,concave,large,1
1,14,large,concave,0
1,15,concave,slope,0
1,16,medium,slope,2
1,17,concave,small,0
1,18,slope,convex,0
1,19,slope,small,1
1,20,medium,concave,1
1,21,concave,concave,0
1,22,slope,concave,0
1,23,large,large,3
1,24,small,convex,1
1,25,convex,small,0
1,26,slope,small,2
1,27,convex,large,0
1,28,medium,large,2
1,29,slope,convex,1
1,30,concave,slope,0
1,31,large,slope,2
1,32,slope,medium,2
1,33,medium,medium,2
1,34,small,slope,0
1,35,convex,large,0
1,36,small,large,1
1,37,medium,medium,2
1,38,slope,slope,2
1,39,large,convex,0
1,40,small,medium,3
1,41,medium,small,1
1,42,small,concave,0
1,43,large,convex,0
1,44,small,convex,0
1,45,medium,medium,1
1,46,convex,concave,0
1,47,large,small,0
1,48,convex,slope,1
1,49,large,small,0
1,50,slope,large,2
1,51,medium,concave,0
1,52,large,convex,0
1,53,convex,small,0
1,54,large,concave,0
1,55,small,small,3
1,56,convex,medium,1
1,57,slope,slope,1
1,58,large,slope,2
1,59,slope,medium,2
1,60,concave,concave,0
1,61,slope,medium,3
1,62,convex,large,0
1,63,concave,convex,0
1,64,convex,slope,1
1,65,slope,small,1
1,66,large,medium,2
1,67,slope,large,1
1,68,slope,convex,1
1,69,medium,slope,0
1,70,large,concave,0
1,71,small,convex,2
1,72,concave,medium,0
1,73,slope,concave,1
1,74,medium,convex,2
1,75,medium,concave,1
1,76,large,medium,1
1,77,convex,slope,0
1,78,slope,large,2
1,79,large,medium,2
1,80,convex,concave,0
1,81,large,slope,1
1,82,convex,large,0
1,83,concave,medium,1
1,84,slope,concave,0
1,85,small,medium,2
1,86,medium,medium,3
1,87,concave,slope,1
1,88,concave,convex,0
1,89,slope,small,1
1,90,concave,medium,1
1,91,concave,concave,0
1,92,convex,convex,0
1,93,concave,large,1
1,94,large,concave,1
1,95,concave,small,1
1,96,concave,small,1
1,97,large,concave,1
1,98,convex,slope,2
1,99,concave,convex,0
1,100,convex,convex,1
1,101,small,small,3
1,102,convex,convex,1
1,103,small,large,1
1,104,small,large,2
1,105,convex,medium,0
1,106,small,large,2
1,107,concave,medium,1
1,108,small,medium,3
1,109,small,concave,1
1,110,medium,convex,1
1,111,small,slope,1
1,112,slope,slope,2
1,113,small,convex,2
1,114,convex,medium,0
1,115,large,medium,1
1,116,convex,medium,0
1,117,convex,concave,1
1,118,slope,slope,2
1,119,concave,large,1
1,120,convex,small,0
1,121,medium,convex,0
1,122,small,medium,3
1,123,medium,slope,0
1,124,medium,small,0
1,125,concave,slope,0
1,126,large,large,3
1,127,small,slope,0
1,128,slope,small,1
1,129,convex,convex,1
1,130,slope,convex,1
1,131,concave,medium,0
1,132,large,medium,1
1,133,concave,large,0
1,134,concave,small,0
1,135,slope,medium,2
1,136,convex,concave,1
1,137,slope,large,3
1,138,slope,concave,1
1,139,medium,large,2
1,140,large,small,1
1,141,concave,small,0
1,142,small,small,3
1,143,large,slope,1
1,144,small,concave,0
1,145,large,large,3
1,146,convex,convex,1
1,147,small,convex,1
1,148,medium,large,2
1,149,concave,large,1
1,150,small,concave,1
1,151,small,slope,1
1,152,medium,small,1
1,153,small,slope,0
1,154,convex,large,0
1,155,slope,large,2
1,156,slope,convex,0
1,157,concave,concave,0
1,158,large,small,0
1,159,medium,concave,1
1,160,small,large,2
1,161,concave,concave,0
1,162,medium,convex,2
1,163,convex,slope,2
1,164,large,slope,3
1,165,large,large,3
1,166,medium,medium,2
1,167,medium,large,2
1,168,slope,concave,0
1,169,large,convex,0
1,170,convex,small,0
1,171,concave,convex,0
1,172,small,small,3
1,173,small,concave,0
1,174,slope,medium,2
1,175,medium,convex,1
1,176,medium,slope,1
1,177,concave,convex,0
1,178,medium,concave,1
1,179,small,small,3
