pid,trial,shape,rendering,congruency
7,0,large,fast,
7,1,large,slow,
7,2,concave,fast,
7,3,large,static,
7,4,large,static,
7,5,small,slow,
7,6,small,fast,
7,7,small,static,
7,8,small,slow,
7,9,convex,fast,
7,10,large,fast,
7,11,slope,fast,
7,12,concave,fast,
7,13,slope,fast,
7,14,medium,fast,
7,15,convex,slow,
7,16,small,static,
7,17,large,static,
7,18,small,static,
7,19,slope,slow,
7,20,concave,slow,
7,21,small,static,
7,22,slope,slow,
7,23,large,fast,
7,24,concave,static,
7,25,concave,static,
7,26,concave,static,
7,27,slope,static,
7,28,slope,static,
7,29,large,slow,
7,30,medium,static,
7,31,medium,slow,
7,32,large,fast,
7,33,slope,fast,
7,34,slope,fast,
7,35,large,slow,
7,36,small,slow,
7,37,medium,fast,
7,38,medium,slow,
7,39,concave,fast,
7,40,concave,static,
7,41,medium,fast,
7,42,convex,fast,
7,43,medium,fast,
7,44,small,fast,
7,45,slope,slow,
7,46,convex,static,
7,47,concave,slow,
7,48,medium,static,
7,49,convex,fast,
7,50,slope,fast,
7,51,large,static,
7,52,concave,slow,
7,53,concave,slow,
7,54,large,static,
7,55,slope,slow,
7,56,small,static,
7,57,convex,static,
7,58,convex,slow,
7,59,concave,static,
7,60,large,slow,
7,61,concave,slow,
7,62,convex,slow,
7,63,small,slow,
7,64,convex,fast,
7,65,large,slow,
7,66,concave,fast,
7,67,large,fast,
7,68,convex,slow,
7,69,medium,static,
7,70,convex,static,
7,71,medium,static,
7,72,slope,slow,
7,73,convex,static,
7,74,medium,slow,
7,75,convex,fast,
7,76,slope,static,
7,77,small,slow,
7,78,concave,fast,
7,79,small,fast,
7,80,convex,slow,
7,81,convex,static,
7,82,small,fast,
7,83,small,fast,
7,84,medium,fast,
7,85,medium,static,
7,86,medium,slow,
7,87,slope,static,
7,88,slope,static,
7,89,medium,slow,
