pid,trial,physical_speed,visual_end_size,scenario,congruency
5,0,0,40,two-hand,
5,1,-40,55,two-hand,
5,2,-20,35,two-hand,
5,3,-20,45,two-hand,
5,4,-10,50,two-hand,
5,5,-20,50,two-hand,
5,6,-20,40,two-hand,
5,7,-40,55,two-hand,
5,8,-10,60,two-hand,
5,9,0,40,two-hand,
5,10,-10,50,two-hand,
5,11,-20,40,two-hand,
5,12,-40,35,two-hand,
5,13,-10,55,two-hand,
5,14,-10,55,two-hand,
5,15,0,50,two-hand,
5,16,0,40,two-hand,
5,17,-10,45,two-hand,
5,18,0,60,two-hand,
5,19,0,60,two-hand,
5,20,0,55,two-hand,
5,21,-40,50,two-hand,
5,22,0,45,two-hand,
5,23,-40,45,two-hand,
5,24,-40,45,two-hand,
5,25,0,50,two-hand,
5,26,0,35,two-hand,
5,27,-40,60,two-hand,
5,28,-20,50,two-hand,
5,29,-10,60,two-hand,
5,30,-40,35,two-hand,
5,31,-40,60,two-hand,
5,32,-40,50,two-hand,
5,33,-20,60,two-hand,
5,34,0,50,two-hand,
5,35,0,55,two-hand,
5,36,-10,40,two-hand,
5,37,-40,40,two-hand,
5,38,-20,35,two-hand,
5,39,-10,35,two-hand,
5,40,-40,50,two-hand,
5,41,0,60,two-hand,
5,42,-10,50,two-hand,
5,43,-10,45,two-hand,
5,44,-40,55,two-hand,
5,45,-20,55,two-hand,
5,46,-10,60,two-hand,
5,47,-10,35,two-hand,
5,48,-40,40,two-hand,
5,49,-20,55,two-hand,
5,50,-40,40,two-hand,
5,51,0,45,two-hand,
5,52,-20,55,two-hand,
5,53,0,45,two-hand,
5,54,-10,45,two-hand,
5,55,-40,55,two-hand,
5,56,-20,35,two-hand,
5,57,-40,60,two-hand,
5,58,-20,55,two-hand,
5,59,-40,40,two-hand,
5,60,-40,50,two-hand,
5,61,-40,45,two-hand,
5,62,-20,60,two-hand,
5,63,-10,40,two-hand,
5,64,0,40,two-hand,
5,65,-10,50,two-hand,
5,66,-40,35,two-hand,
5,67,-20,60,two-hand,
5,68,-10,35,two-hand,
5,69,-20,50,two-hand,
5,70,-10,60,two-hand,
5,71,-40,35,two-hand,
5,72,0,45,two-hand,
5,73,-20,60,two-hand,
5,74,-10,35,two-hand,
5,75,-20,35,two-hand,
5,76,-20,45,two-hand,
5,77,-40,60,two-hand,
5,78,-20,50,two-hand,
5,79,0,60,two-hand,
5,80,-20,40,two-hand,
5,81,0,35,two-hand,
5,82,-20,45,two-hand,
5,83,-10,40,two-hand,
5,84,-10,45,two-hand,
5,85,-20,40,two-hand,
5,86,0,55,two-hand,
5,87,-40,45,two-hand,
5,88,-10,40,two-hand,
5,89,-10,55,two-hand,
5,90,0,55,two-hand,
5,91,0,35,two-hand,
5,92,0,50,two-hand,
5,93,-20,45,two-hand,
5,94,0,35,two-hand,
5,95,-10,55,two-hand,
5,96,-20,60,one-hand,
5,97,0,35,one-hand,
5,98,-10,40,one-hand,
5,99,0,35,one-hand,
5,100,-40,55,one-hand,
5,101,-40,35,one-hand,
5,102,-10,55,one-hand,
5,103,-10,55,one-hand,
5,104,-20,40,one-hand,
5,105,0,55,one-hand,
5,106,0,35,one-hand,
5,107,0,60,one-hand,
5,108,0,40,one-hand,
5,109,-40,45,one-hand,
5,110,-40,55,one-hand,
5,111,-40,55,one-hand,
5,112,-40,35,one-hand,
5,113,0,50,one-hand,
