pid,trial,physical,visual,rendering,scenario,congruency
9,0,80,100,static,two-hand,
9,1,60,75,dynamic,two-hand,
9,2,80,100,dynamic,two-hand,
9,3,60,150,dynamic,two-hand,
9,4,80,200,static,two-hand,
9,5,60,100,dynamic,two-hand,
9,6,80,50,static,two-hand,
9,7,60,100,dynamic,two-hand,
9,8,60,100,static,two-hand,
9,9,60,150,static,two-hand,
9,10,60,150,dynamic,two-hand,
9,11,60,50,dynamic,two-hand,
9,12,80,150,static,two-hand,
9,13,60,100,dynamic,two-hand,
9,14,60,200,dynamic,two-hand,
9,15,80,100,dynamic,two-hand,
9,16,80,100,dynamic,two-hand,
9,17,60,200,static,two-hand,
9,18,80,50,dynamic,two-hand,
9,19,80,75,dynamic,two-hand,
9,20,60,100,static,two-hand,
9,21,80,100,dynamic,two-hand,
9,22,60,75,dynamic,two-hand,
9,23,60,200,static,two-hand,
9,24,80,150,dynamic,two-hand,
9,25,80,150,dynamic,two-hand,
9,26,80,100,static,two-hand,
9,27,60,75,static,two-hand,
9,28,80,75,static,two-hand,
9,29,60,75,dynamic,two-hand,
9,30,60,75,static,two-hand,
9,31,60,100,static,two-hand,
9,32,60,50,static,two-hand,
9,33,80,200,dynamic,two-hand,
9,34,60,200,static,two-hand,
9,35,80,75,dynamic,two-hand,
9,36,60,50,dynamic,two-hand,
9,37,80,150,static,two-hand,
9,38,80,50,static,two-hand,
9,39,60,50,static,two-hand,
9,40,80,200,static,two-hand,
9,41,80,50,dynamic,two-hand,
9,42,80,200,dynamic,two-hand,
9,43,60,50,dynamic,two-hand,
9,44,80,75,static,two-hand,
9,45,80,150,dynamic,two-hand,
9,46,60,100,dynamic,two-hand,
9,47,60,100,dynamic,two-hand,
9,48,60,50,dynamic,two-hand,
9,49,80,50,static,two-hand,
9,50,80,150,dynamic,two-hand,
9,51,60,50,static,two-hand,
9,52,60,150,dynamic,two-hand,
9,53,80,50,static,two-hand,
9,54,80,75,dynamic,two-hand,
9,55,60,150,static,two-hand,
9,56,80,75,static,two-hand,
9,57,80,200,dynamic,two-hand,
9,58,80,100,static,two-hand,
9,59,60,200,dynamic,two-hand,
9,60,80,200,dynamic,two-hand,
9,61,60,150,static,two-hand,
9,62,60,200,dynamic,two-hand,
9,63,60,75,static,two-hand,
9,64,60,75,static,two-hand,
9,65,60,100,static,two-hand,
9,66,60,50,dynamic,two-hand,
9,67,60,150,dynamic,two-hand,
9,68,80,200,static,two-hand,
9,69,60,75,static,two-hand,
9,70,80,50,dynamic,two-hand,
9,71,80,50,dynamic,two-hand,
9,72,80,150,static,two-hand,
9,73,80,75,dynamic,two-hand,
9,74,80,200,static,two-hand,
9,75,60,150,dynamic,two-hand,
9,76,80,75,static,two-hand,
9,77,80,200,static,two-hand,
9,78,80,100,static,two-hand,
9,79,80,50,dynamic,two-hand,
9,80,60,100,static,two-hand,
9,81,80,150,static,two-hand,
9,82,80,75,static,two-hand,
9,83,80,50,static,two-hand,
9,84,80,200,dynamic,two-hand,
9,85,60,150,static,two-hand,
9,86,60,200,dynamic,two-hand,
9,87,80,75,dynamic,two-hand,
9,88,80,150,dynamic,two-hand,
9,89,80,150,static,two-hand,
9,90,60,200,static,two-hand,
9,91,60,75,dynamic,two-hand,
9,92,60,50,static,two-hand,
9,93,60,200,dynamic,two-hand,
9,94,60,50,static,two-hand,
9,95,60,150,static,two-hand,
9,96,60,200,static,two-hand,
9,97,60,75,dynamic,two-hand,
9,98,80,100,dynamic,two-hand,
9,99,80,100,static,two-hand,
9,100,80,150,dynamic,one-hand,
9,101,80,100,static,one-hand,
9,102,60,100,static,one-hand,
9,103,80,50,static,one-hand,
9,104,80,200,dynamic,one-hand,
9,105,60,200,static,one-hand,
9,106,80,100,static,one-hand,
9,107,80,50,static,one-hand,
9,108,60,200,dynamic,one-hand,
9,109,60,150,static,one-hand,
9,110,60,50,dynamic,one-hand,
9,111,60,50,dynamic,one-hand,
9,112,60,200,dynamic,one-hand,
9,113,60,150,static,one-hand,
9,114,60,100,dynamic,one-hand,
9,115,80,150,static,one-hand,
9,116,60,100,static,one-hand,
9,117,60,75,static,one-hand,
9,118,80,50,dynamic,one-hand,
9,119,60,50,dynamic,one-hand,
9,120,80,150,dynamic,one-hand,
9,121,80,75,dynamic,one-hand,
9,122,80,150,dynamic,one-hand,
9,123,80,200,static,one-hand,
9,124,60,200,static,one-hand,
9,125,80,150,static,one-hand,
9,126,60,50,dynamic,one-hand,
9,127,60,200,static,one-hand,
9,128,60,100,static,one-hand,
9,129,60,100,dynamic,one-hand,
9,130,80,100,dynamic,one-hand,
9,131,60,150,dynamic,one-hand,
9,132,80,200,dynamic,one-hand,
9,133,60,100,dynamic,one-hand,
9,134,60,75,dynamic,one-hand,
9,135,80,75,static,one-hand,
9,136,60,150,static,one-hand,
9,137,60,150,dynamic,one-hand,
9,138,80,50,static,one-hand,
9,139,80,75,dynamic,one-hand,
9,140,60,100,dynamic,one-hand,
9,141,80,200,dynamic,one-hand,
9,142,80,75,dynamic,one-hand,
9,143,60,200,dynamic,one-hand,
9,144,60,50,dynamic,one-hand,
9,145,80,200,static,one-hand,
9,146,60,75,dynamic,one-hand,
9,147,80,150,dynamic,one-hand,
9,148,80,200,static,one-hand,
9,149,60,50,static,one-hand,
9,150,60,100,static,one-hand,
9,151,60,150,dynamic,one-hand,
9,152,80,75,static,one-hand,
9,153,60,50,static,one-hand,
9,154,80,75,static,one-hand,
9,155,60,100,dynamic,one-hand,
9,156,60,200,static,one-hand,
9,157,60,75,static,one-hand,
9,158,80,150,static,one-hand,
9,159,80,150,dynamic,one-hand,
9,160,80,100,static,one-hand,
9,161,80,100,dynamic,one-hand,
9,162,60,75,static,one-hand,
9,163,80,50,static,one-hand,
9,164,80,75,static,one-hand,
9,165,80,50,dynamic,one-hand,
9,166,60,200,static,one-hand,
9,167,60,50,static,one-hand,
9,168,60,150,static,one-hand,
9,169,60,150,dynamic,one-hand,
9,170,80,50,dynamic,one-hand,
9,171,60,75,static,one-hand,
9,172,60,75,dynamic,one-hand,
9,173,60,150,dynamic,one-hand,
9,174,80,75,dynamic,one-hand,
9,175,60,200,dynamic,one-hand,
9,176,80,200,dynamic,one-hand,
9,177,60,75,dynamic,one-hand,
9,178,80,200,static,one-hand,
9,179,80,50,dynamic,one-hand,
9,180,80,100,static,one-hand,
9,181,60,150,static,one-hand,
9,182,60,200,dynamic,one-hand,
9,183,80,50,static,one-hand,
9,184,80,100,static,one-hand,
9,185,80,100,dynamic,one-hand,
