pid,trial,visualSize,scenario,direction,congruency,time,distance
7,0,60,one-hand,shrink,,,
7,1,52,one-hand,shrink,,,
7,2,44,one-hand,shrink,,,
7,3,48,one-hand,shrink,,,
7,4,56,one-hand,shrink,,,
7,5,42,one-hand,shrink,,,
7,6,40,one-hand,shrink,,,
7,7,58,one-hand,shrink,,,
7,8,48,one-hand,shrink,,,
7,9,42,one-hand,shrink,,,
7,10,54,one-hand,shrink,,,
7,11,50,one-hand,shrink,,,
7,12,60,one-hand,shrink,,,
7,13,52,one-hand,shrink,,,
7,14,44,one-hand,shrink,,,
7,15,60,one-hand,shrink,,,
7,16,50,one-hand,shrink,,,
7,17,40,one-hand,shrink,,,
7,18,54,one-hand,shrink,,,
7,19,46,one-hand,shrink,,,
7,20,52,one-hand,shrink,,,
7,21,46,one-hand,shrink,,,
7,22,44,one-hand,shrink,,,
7,23,60,one-hand,shrink,,,
7,24,50,one-hand,shrink,,,
7,25,40,one-hand,shrink,,,
7,26,54,one-hand,shrink,,,
7,27,46,one-hand,shrink,,,
7,28,42,one-hand,shrink,,,
7,29,48,one-hand,shrink,,,
7,30,40,one-hand,shrink,,,
7,31,44,one-hand,shrink,,,
7,32,44,one-hand,shrink,,,
7,33,52,one-hand,shrink,,,
7,34,54,one-hand,shrink,,,
7,35,54,one-hand,shrink,,,
7,36,40,one-hand,shrink,,,
7,37,46,one-hand,shrink,,,
7,38,42,one-hand,shrink,,,
7,39,56,one-hand,shrink,,,
7,40,52,one-hand,shrink,,,
7,41,58,one-hand,shrink,,,
7,42,58,one-hand,shrink,,,
7,43,56,one-hand,shrink,,,
7,44,46,one-hand,shrink,,,
7,45,58,one-hand,shrink,,,
7,46,58,one-hand,shrink,,,
7,47,56,one-hand,shrink,,,
7,48,60,one-hand,shrink,,,
7,49,50,one-hand,shrink,,,
7,50,56,one-hand,shrink,,,
7,51,50,one-hand,shrink,,,
7,52,48,one-hand,shrink,,,
7,53,48,one-hand,shrink,,,
7,54,42,one-hand,shrink,,,
7,55,56,two-hand,shrink,,,
7,56,44,two-hand,shrink,,,
7,57,46,two-hand,shrink,,,
7,58,42,two-hand,shrink,,,
7,59,40,two-hand,shrink,,,
7,60,48,two-hand,shrink,,,
7,61,42,two-hand,shrink,,,
7,62,60,two-hand,shrink,,,
7,63,50,two-hand,shrink,,,
7,64,50,two-hand,shrink,,,
7,65,52,two-hand,shrink,,,
7,66,54,two-hand,shrink,,,
7,67,56,two-hand,shrink,,,
7,68,54,two-hand,shrink,,,
7,69,56,two-hand,shrink,,,
7,70,46,two-hand,shrink,,,
7,71,42,two-hand,shrink,,,
7,72,54,two-hand,shrink,,,
7,73,44,two-hand,shrink,,,
7,74,54,two-hand,shrink,,,
7,75,48,two-hand,shrink,,,
7,76,60,two-hand,shrink,,,
7,77,58,two-hand,shrink,,,
7,78,46,two-hand,shrink,,,
7,79,40,two-hand,shrink,,,
7,80,40,two-hand,shrink,,,
7,81,46,two-hand,shrink,,,
7,82,54,two-hand,shrink,,,
7,83,42,two-hand,shrink,,,
7,84,52,two-hand,shrink,,,
7,85,58,two-hand,shrink,,,
7,86,42,two-hand,shrink,,,
7,87,56,two-hand,shrink,,,
7,88,40,two-hand,shrink,,,
7,89,60,two-hand,shrink,,,
7,90,40,two-hand,shrink,,,
7,91,58,two-hand,shrink,,,
7,92,48,two-hand,shrink,,,
7,93,52,two-hand,shrink,,,
7,94,52,two-hand,shrink,,,
7,95,52,two-hand,shrink,,,
7,96,58,two-hand,shrink,,,
7,97,58,two-hand,shrink,,,
7,98,60,two-hand,shrink,,,
7,99,50,two-hand,shrink,,,
7,100,44,two-hand,shrink,,,
7,101,46,two-hand,shrink,,,
7,102,56,two-hand,shrink,,,
7,103,50,two-hand,shrink,,,
7,104,44,two-hand,shrink,,,
7,105,48,two-hand,shrink,,,
7,106,48,two-hand,shrink,,,
7,107,60,two-hand,shrink,,,
7,108,44,two-hand,shrink,,,
7,109,50,two-hand,shrink,,,
