pid,trial,visualSize,scenario,delayTime,direction,congruency,time,distance
9,0,80,two-hand,0.5,shrink,,,
9,1,160,two-hand,0.5,shrink,,,
9,2,140,two-hand,0.5,shrink,,,
9,3,180,two-hand,0.5,shrink,,,
9,4,120,two-hand,0.5,shrink,,,
9,5,160,two-hand,0.5,shrink,,,
9,6,120,two-hand,0.5,shrink,,,
9,7,140,two-hand,0.5,shrink,,,
9,8,140,two-hand,0.5,shrink,,,
9,9,160,two-hand,0.5,shrink,,,
9,10,80,two-hand,0.5,shrink,,,
9,11,120,two-hand,0.5,shrink,,,
9,12,140,two-hand,0.5,shrink,,,
9,13,160,two-hand,0.5,shrink,,,
9,14,100,two-hand,0.5,shrink,,,
9,15,80,two-hand,0.5,shrink,,,
9,16,140,two-hand,0.5,shrink,,,
9,17,180,two-hand,0.5,shrink,,,
9,18,120,two-hand,0.5,shrink,,,
9,19,180,two-hand,0.5,shrink,,,
9,20,180,two-hand,0.5,shrink,,,
9,21,100,two-hand,0.5,shrink,,,
9,22,160,two-hand,0.5,shrink,,,
9,23,80,two-hand,0.5,shrink,,,
9,24,100,two-hand,0.5,shrink,,,
9,25,80,two-hand,0.5,shrink,,,
9,26,120,two-hand,0.5,shrink,,,
9,27,100,two-hand,0.5,shrink,,,
9,28,180,two-hand,0.5,shrink,,,
9,29,100,two-hand,0.5,shrink,,,
9,30,160,one-hand,0.5,shrink,,,
9,31,160,one-hand,0.5,shrink,,,
9,32,80,one-hand,0.5,shrink,,,
9,33,180,one-hand,0.5,shrink,,,
9,34,180,one-hand,0.5,shrink,,,
9,35,180,one-hand,0.5,shrink,,,
9,36,80,one-hand,0.5,shrink,,,
9,37,140,one-hand,0.5,shrink,,,
9,38,100,one-hand,0.5,shrink,,,
9,39,160,one-hand,0.5,shrink,,,
9,40,140,one-hand,0.5,shrink,,,
9,41,80,one-hand,0.5,shrink,,,
9,42,120,one-hand,0.5,shrink,,,
9,43,160,one-hand,0.5,shrink,,,
9,44,100,one-hand,0.5,shrink,,,
9,45,100,one-hand,0.5,shrink,,,
9,46,180,one-hand,0.5,shrink,,,
9,47,120,one-hand,0.5,shrink,,,
9,48,180,one-hand,0.5,shrink,,,
9,49,100,one-hand,0.5,shrink,,,
9,50,160,one-hand,0.5,shrink,,,
9,51,140,one-hand,0.5,shrink,,,
9,52,80,one-hand,0.5,shrink,,,
9,53,140,one-hand,0.5,shrink,,,
9,54,120,one-hand,0.5,shrink,,,
9,55,100,one-hand,0.5,shrink,,,
9,56,120,one-hand,0.5,shrink,,,
9,57,80,one-hand,0.5,shrink,,,
9,58,120,one-hand,0.5,shrink,,,
9,59,140,one-hand,0.5,shrink,,,
