pid,trial,physical,visual,direction,congruency,binary
10,0,10,200,shrink,,
10,1,30,200,shrink,,
10,2,10,150,shrink,,
10,3,10,100,shrink,,
10,4,40,150,shrink,,
10,5,10,75,shrink,,
10,6,10,150,shrink,,
10,7,20,150,shrink,,
10,8,20,100,shrink,,
10,9,30,50,shrink,,
10,10,40,200,shrink,,
10,11,20,100,shrink,,
10,12,40,50,shrink,,
10,13,20,75,shrink,,
10,14,40,100,shrink,,
10,15,40,100,shrink,,
10,16,30,75,shrink,,
10,17,30,150,shrink,,
10,18,40,50,shrink,,
10,19,30,50,shrink,,
10,20,30,50,shrink,,
10,21,30,50,shrink,,
10,22,40,200,shrink,,
10,23,30,75,shrink,,
10,24,10,50,shrink,,
10,25,20,150,shrink,,
10,26,30,200,shrink,,
10,27,10,75,shrink,,
10,28,20,50,shrink,,
10,29,30,150,shrink,,
10,30,20,75,shrink,,
10,31,40,50,shrink,,
10,32,30,200,shrink,,
10,33,10,200,shrink,,
10,34,40,100,shrink,,
10,35,40,75,shrink,,
10,36,40,100,shrink,,
10,37,20,200,shrink,,
10,38,10,200,shrink,,
10,39,10,150,shrink,,
10,40,40,75,shrink,,
10,41,30,150,shrink,,
10,42,20,150,shrink,,
10,43,20,75,shrink,,
10,44,10,200,shrink,,
10,45,30,100,shrink,,
10,46,30,200,shrink,,
10,47,20,50,shrink,,
10,48,10,100,shrink,,
10,49,40,100,shrink,,
10,50,10,50,shrink,,
10,51,10,150,shrink,,
10,52,30,100,shrink,,
10,53,30,75,shrink,,
10,54,10,50,shrink,,
10,55,20,150,shrink,,
10,56,20,75,shrink,,
10,57,20,75,shrink,,
10,58,30,100,shrink,,
10,59,30,75,shrink,,
10,60,20,200,shrink,,
10,61,30,75,shrink,,
10,62,20,50,shrink,,
10,63,40,150,shrink,,
10,64,40,200,shrink,,
10,65,30,150,shrink,,
10,66,30,100,shrink,,
10,67,20,150,shrink,,
10,68,40,200,shrink,,
10,69,20,100,shrink,,
10,70,20,50,shrink,,
10,71,10,75,shrink,,
10,72,20,50,shrink,,
10,73,10,75,shrink,,
10,74,40,50,shrink,,
10,75,40,75,shrink,,
10,76,40,150,shrink,,
10,77,40,75,shrink,,
10,78,10,100,shrink,,
10,79,20,200,shrink,,
10,80,30,100,shrink,,
10,81,20,200,shrink,,
10,82,10,75,shrink,,
10,83,40,150,shrink,,
10,84,10,150,shrink,,
10,85,20,100,shrink,,
10,86,10,100,shrink,,
10,87,40,75,shrink,,
10,88,30,50,shrink,,
10,89,40,150,shrink,,
10,90,10,100,shrink,,
10,91,40,50,shrink,,
10,92,10,50,shrink,,
10,93,20,200,shrink,,
10,94,10,50,shrink,,
10,95,10,200,shrink,,
10,96,40,200,shrink,,
10,97,30,200,shrink,,
10,98,20,100,shrink,,
10,99,30,150,shrink,,
10,100,20,150,grow,,
10,101,10,150,grow,,
10,102,20,200,grow,,
10,103,10,50,grow,,
10,104,10,75,grow,,
10,105,30,100,grow,,
10,106,30,50,grow,,
10,107,40,75,grow,,
10,108,40,150,grow,,
10,109,20,200,grow,,
10,110,20,75,grow,,
10,111,30,150,grow,,
10,112,20,75,grow,,
10,113,40,150,grow,,
10,114,20,50,grow,,
10,115,30,75,grow,,
10,116,20,100,grow,,
10,117,20,50,grow,,
10,118,10,150,grow,,
10,119,10,100,grow,,
10,120,40,150,grow,,
10,121,20,50,grow,,
10,122,10,100,grow,,
10,123,10,75,grow,,
10,124,40,200,grow,,
10,125,10,50,grow,,
10,126,40,150,grow,,
10,127,10,150,grow,,
10,128,30,200,grow,,
10,129,20,75,grow,,
10,130,30,75,grow,,
10,131,40,75,grow,,
10,132,20,150,grow,,
10,133,40,50,grow,,
10,134,30,100,grow,,
10,135,10,50,grow,,
10,136,40,50,grow,,
10,137,40,150,grow,,
10,138,40,200,grow,,
10,139,30,150,grow,,
10,140,40,100,grow,,
10,141,10,75,grow,,
10,142,10,50,grow,,
10,143,10,200,grow,,
10,144,10,75,grow,,
10,145,30,200,grow,,
10,146,10,200,grow,,
10,147,20,100,grow,,
10,148,20,50,grow,,
10,149,10,100,grow,,
10,150,20,100,grow,,
10,151,30,50,grow,,
10,152,40,75,grow,,
10,153,10,150,grow,,
10,154,40,50,grow,,
10,155,20,150,grow,,
10,156,40,100,grow,,
10,157,40,200,grow,,
10,158,40,100,grow,,
10,159,20,100,grow,,
10,160,10,100,grow,,
10,161,40,50,grow,,
10,162,10,200,grow,,
10,163,30,150,grow,,
10,164,40,75,grow,,
10,165,30,200,grow,,
10,166,20,200,grow,,
10,167,30,75,grow,,
10,168,20,150,grow,,
10,169,40,100,grow,,
10,170,20,75,grow,,
10,171,30,75,grow,,
10,172,30,50,grow,,
10,173,40,200,grow,,
10,174,10,150,grow,,
10,175,30,200,grow,,
10,176,30,75,grow,,
10,177,30,50,grow,,
10,178,20,200,grow,,
10,179,10,50,grow,,
10,180,20,50,grow,,
10,181,10,100,grow,,
10,182,10,75,grow,,
10,183,10,200,grow,,
10,184,30,100,grow,,
10,185,30,150,grow,,
10,186,40,75,grow,,
10,187,40,100,grow,,
10,188,40,200,grow,,
10,189,20,150,grow,,
10,190,30,150,grow,,
10,191,20,75,grow,,
10,192,40,50,grow,,
10,193,30,200,grow,,
10,194,30,50,grow,,
10,195,30,100,grow,,
10,196,20,100,grow,,
10,197,10,200,grow,,
10,198,30,100,grow,,
10,199,20,200,grow,,
