pid,trial,physical,visual,congruency
3,0,shrink_moderate,grow_slow,
3,1,shrink_slow,shrink_fast,
3,2,shrink_slow,grow_slow,
3,3,grow_slow,grow_fast,
3,4,grow_slow,shrink_fast,
3,5,shrink_fast,shrink_slow,
3,6,grow_slow,shrink_slow,
3,7,shrink_moderate,shrink_fast,
3,8,grow_moderate,shrink_moderate,
3,9,shrink_slow,shrink_slow,
3,10,grow_slow,shrink_moderate,
3,11,grow_moderate,grow_moderate,
3,12,shrink_moderate,grow_slow,
3,13,shrink_moderate,grow_moderate,
3,14,grow_fast,shrink_fast,
3,15,grow_fast,shrink_slow,
3,16,grow_slow,grow_fast,
3,17,shrink_slow,grow_moderate,
3,18,shrink_slow,shrink_moderate,
3,19,shrink_slow,shrink_fast,
3,20,grow_fast,grow_fast,
3,21,grow_slow,grow_fast,
3,22,shrink_slow,shrink_moderate,
3,23,grow_slow,grow_slow,
3,24,shrink_moderate,grow_moderate,
3,25,shrink_moderate,grow_fast,
3,26,shrink_fast,grow_moderate,
3,27,shrink_slow,grow_moderate,
3,28,shrink_fast,shrink_moderate,
3,29,shrink_fast,grow_fast,
3,30,grow_moderate,grow_fast,
3,31,shrink_moderate,shrink_moderate,
3,32,grow_fast,grow_moderate,
3,33,grow_fast,shrink_slow,
3,34,grow_fast,grow_moderate,
3,35,shrink_fast,shrink_fast,
3,36,grow_fast,grow_fast,
3,37,shrink_slow,grow_moderate,
3,38,grow_fast,shrink_moderate,
3,39,grow_moderate,shrink_moderate,
3,40,shrink_fast,shrink_slow,
3,41,shrink_slow,shrink_fast,
3,42,grow_slow,shrink_slow,
3,43,grow_moderate,grow_fast,
3,44,shrink_moderate,grow_slow,
3,45,grow_fast,shrink_fast,
3,46,grow_fast,grow_moderate,
3,47,grow_moderate,grow_moderate,
3,48,shrink_fast,grow_slow,
3,49,grow_slow,shrink_moderate,
3,50,shrink_moderate,grow_slow,
3,51,shrink_moderate,shrink_slow,
3,52,shrink_slow,grow_moderate,
3,53,grow_moderate,grow_fast,
3,54,shrink_fast,grow_slow,
3,55,shrink_fast,shrink_moderate,
3,56,grow_fast,grow_fast,
3,57,grow_fast,grow_slow,
3,58,shrink_slow,shrink_moderate,
3,59,grow_moderate,grow_moderate,
3,60,shrink_slow,shrink_slow,
3,61,shrink_fast,grow_moderate,
3,62,grow_slow,shrink_fast,
3,63,grow_fast,grow_fast,
3,64,shrink_moderate,shrink_fast,
3,65,grow_moderate,shrink_moderate,
3,66,shrink_slow,shrink_slow,
3,67,grow_slow,shrink_fast,
3,68,grow_slow,grow_moderate,
3,69,shrink_fast,shrink_slow,
3,70,shrink_fast,grow_fast,
3,71,grow_moderate,grow_moderate,
3,72,shrink_moderate,grow_moderate,
3,73,shrink_slow,shrink_fast,
3,74,shrink_fast,shrink_fast,
3,75,shrink_fast,grow_moderate,
3,76,shrink_moderate,grow_fast,
3,77,grow_moderate,shrink_moderate,
3,78,grow_slow,grow_moderate,
3,79,grow_slow,grow_fast,
3,80,shrink_slow,grow_slow,
3,81,grow_fast,shrink_slow,
3,82,shrink_fast,grow_fast,
3,83,grow_moderate,grow_slow,
3,84,grow_slow,shrink_slow,
3,85,shrink_slow,grow_fast,
3,86,grow_moderate,grow_fast,
3,87,shrink_fast,shrink_fast,
3,88,grow_moderate,shrink_slow,
3,89,grow_fast,grow_slow,
3,90,shrink_fast,grow_moderate,
3,91,grow_moderate,shrink_slow,
3,92,grow_fast,shrink_slow,
3,93,grow_slow,grow_slow,
3,94,grow_slow,shrink_moderate,
3,95,grow_moderate,grow_moderate,
3,96,shrink_moderate,shrink_slow,
3,97,shrink_slow,grow_fast,
3,98,shrink_fast,shrink_slow,
3,99,grow_fast,shrink_moderate,
3,100,grow_moderate,grow_slow,
3,101,grow_fast,shrink_moderate,
3,102,grow_fast,grow_moderate,
3,103,shrink_slow,grow_fast,
3,104,shrink_moderate,grow_slow,
3,105,grow_slow,shrink_fast,
3,106,shrink_slow,shrink_moderate,
3,107,grow_fast,grow_slow,
3,108,grow_fast,shrink_slow,
3,109,shrink_fast,grow_slow,
3,110,grow_moderate,grow_slow,
3,111,shrink_slow,shrink_slow,
3,112,grow_slow,grow_moderate,
